stat_rec,year,mean_ln_B_obs_ry,n_hauls_ry,B_lag_neighbour,n_neighbours_used
31F1,1985,NA,0,10.986152229718549,4
31F2,1985,9.854196461688009,1,10.610688475270772,3
32F1,1985,11.863462553648766,1,11.427433678960293,3
32F2,1985,10.765140635985437,1,10.744118096214587,4
32F3,1985,9.203462236178114,1,11.125658755047576,4
33F1,1985,11.461809267551985,1,11.580679316447535,4
33F2,1985,12.055351133343457,1,11.6475723372161,4
33F3,1985,11.557990436338782,1,10.416909261342736,4
33F4,1985,10.124152814522628,3,10.432442788056521,4
34F1,1985,9.598554569809716,1,11.088687182264495,4
34F2,1985,12.805349008988198,1,10.386262919403464,4
34F3,1985,10.284670861326749,1,11.288328859066572,4
34F4,1985,10.683647618382441,5,10.280800711196367,4
35F0,1985,9.98652325442781,1,11.009239632943403,4
35F1,1985,10.10106719808999,2,10.172044106315814,4
35F2,1985,9.606475113133937,2,11.095488863491202,4
35F3,1985,10.106328372556867,1,10.573453625352,4
35F4,1985,10.608050796379224,5,10.929294183313637,4
36F0,1985,12.840713275982115,2,11.112700776572142,4
36F1,1985,11.496623487891796,4,11.43153925297435,4
36F2,1985,11.369210874329752,4,11.149820553189242,4
36F3,1985,11.79461773056809,2,11.14053526938018,4
36F4,1985,11.132583011747146,6,11.522004498060255,4
36F5,1985,10.617729939477911,8,11.508306686213837,4
36F6,1985,10.281811486487197,7,11.130204748089051,4
36F7,1985,10.493590130480632,4,11.269953471638699,4
37E9,1985,10.677901516826003,1,12.655078314558754,4
37F0,1985,12.289754847142957,3,11.941489751693187,4
37F1,1985,11.415165663495547,4,11.79716076555359,4
37F2,1985,11.701565881163145,2,11.655701445946724,4
37F3,1985,11.95401881888696,5,11.91111195516988,4
37F4,1985,13.067619525815793,3,11.648974918770259,4
37F5,1985,11.55121272080521,6,11.88256169372041,4
37F6,1985,11.85828620159245,7,11.089060109512015,4
37F7,1985,10.899142978104308,7,11.122664485516246,4
37F8,1985,12.040573220370842,2,9.109409250656578,4
38E9,1985,12.657666584640854,2,11.972367123588015,4
38F0,1985,12.832178550469086,2,12.43613844083202,4
38F1,1985,11.700698846016465,2,12.018901765510382,4
38F2,1985,11.884410427074636,2,11.302352383126546,4
38F3,1985,11.080644683132492,2,11.841344785060748,4
38F4,1985,11.95808512364172,4,12.075702354336645,4
38F5,1985,11.986611107995486,6,11.594315959479992,4
38F6,1985,11.624073252651344,7,11.761199157273632,4
38F7,1985,10.098208389621062,11,9.368727186261971,4
38F8,1985,4.946695504420306,2,10.714592873287943,3
39E8,1985,11.638622430884887,2,12.358372746439482,4
39E9,1985,12.740765996172087,2,12.534012236072225,4
39F0,1985,13.0964334855278,2,12.556549360525516,4
39F1,1985,11.943852421002255,2,12.022928563898976,4
39F2,1985,10.726500122194082,3,11.936881653099665,4
39F3,1985,11.568864770639674,2,11.014380678057357,4
39F4,1985,12.167934100402812,4,11.256460879945465,4
39F5,1985,11.24389274082169,4,12.207058893582241,4
39F6,1985,13.101690929885528,2,11.150991142268923,4
39F7,1985,10.004997009871925,9,11.102067657105481,3
39F8,1985,NA,0,8.789051138930786,4
40E8,1985,11.29173196170963,2,11.885956045747069,4
40E9,1985,12.743326443235361,2,11.776165908714313,4
40F0,1985,12.709400474458635,2,12.924089466178438,4
40F1,1985,12.568081801857552,2,12.446331071568254,4
40F2,1985,12.350398993682097,3,11.540015535178457,4
40F3,1985,10.082443806500043,3,11.440289813557293,4
40F4,1985,10.25500088467877,3,11.161747485043353,4
40F5,1985,11.571999436045136,2,11.368104222779131,4
40F6,1985,11.731001565730732,2,11.499104059629627,4
40F7,1985,10.106303651809851,3,11.115470197706374,4
41E7,1985,11.840483532145218,2,11.267648336870081,4
41E8,1985,11.321391776722807,2,11.231687455829748,4
41E9,1985,10.362765202516904,2,11.856770670425691,4
41F0,1985,13.28851613409304,2,12.064331318595173,4
41F1,1985,12.78167239713003,2,12.763577605782173,4
41F2,1985,12.78303641016215,3,12.207524513063431,4
41F3,1985,11.586894605228629,3,11.175617600703728,4
41F4,1985,10.82461259722542,3,11.197246499163624,4
41F5,1985,12.242521699885327,2,11.514879754531002,4
41F6,1985,11.216422220777988,1,12.058328525138052,4
41F7,1985,11.50945999444485,2,11.727178832303704,4
42E7,1985,11.02570048210065,2,11.246630852370853,4
42E8,1985,11.43176912694724,2,10.70345489003579,4
42E9,1985,10.073848327651557,2,11.357872735621399,4
42F0,1985,12.40348720027512,2,12.413473888269689,4
42F1,1985,12.41467607701595,2,12.582562806190234,4
42F2,1985,12.11113205621297,3,12.183522460661942,4
42F3,1985,11.012377588927293,3,11.249698928208675,4
42F4,1985,10.704568806861772,2,10.85782644941829,4
42F5,1985,12.446484764075466,2,12.290290948519676,4
42F6,1985,12.750330840491298,1,11.81410827999245,4
42F7,1985,12.835658616135678,1,11.702659402233012,4
43E8,1985,10.392878973668145,2,11.798718217892645,4
43E9,1985,11.233469412746334,2,11.674406310080045,4
