"stat_rec","lon","lat","bearing_resid","n_local_pairs_resid","bearing_blup","n_local_pairs_blup","bearing_depth_cross","bearing_depth","pct_sounding","tid_flag_lt50","tid_flag_lt25"
"31F1",1.4999999998002,51.2499999997502,45,36,45,36,159.122042667356,249.122042667356,99.9953791414445,FALSE,FALSE
"31F2",2.50000000004999,51.2499999997502,45,39,45,39,137.3111393511,227.3111393511,98.697791908018,FALSE,FALSE
"32F1",1.4999999998002,51.7499999996503,0,46,0,46,279.175528314826,9.17552831482618,99.9299084687062,FALSE,FALSE
"32F2",2.50000000004999,51.7499999996503,45,48,45,48,105.067411777424,195.067411777424,100,FALSE,FALSE
"32F3",3.50000000029982,51.7499999996503,0,51,0,51,118.298965889449,208.298965889449,97.525867823765,FALSE,FALSE
"33F1",1.4999999998002,52.2500000000001,0,58,0,58,246.739841341644,336.739841341644,99.6447602131439,FALSE,FALSE
"33F2",2.50000000004999,52.2500000000001,0,61,0,61,155.337165427574,245.337165427574,100,FALSE,FALSE
"33F3",3.50000000029982,52.2500000000001,45,62,45,62,328.524311624782,58.5243116247815,100,FALSE,FALSE
"33F4",4.50000000009999,52.2500000000001,45,62,135,62,0,90,61.1949652687105,FALSE,FALSE
"34F1",1.4999999998002,52.7500000003498,135,67,135,67,168.592881634864,258.592881634864,97.1375807940905,FALSE,FALSE
"34F2",2.50000000004999,52.7500000003498,135,71,135,71,292.441723642171,22.4417236421713,100,FALSE,FALSE
"34F3",3.50000000029982,52.7500000003498,135,72,135,72,170.188253091392,260.188253091392,100,FALSE,FALSE
"34F4",4.50000000009999,52.7500000003498,135,70,135,70,126.288427754487,216.288427754487,86.6179830652749,FALSE,FALSE
"35F0",0.500000000000057,53.2500000002499,135,73,135,73,233.825413391086,323.825413391086,95.5243093375582,FALSE,FALSE
"35F1",1.4999999998002,53.2500000002499,135,77,135,77,236.235948479974,326.235948479974,100,FALSE,FALSE
"35F2",2.50000000004999,53.2500000002499,90,80,135,80,0,90,100,FALSE,FALSE
"35F3",3.50000000029982,53.2500000002499,90,80,135,80,0,90,100,FALSE,FALSE
"35F4",4.50000000009999,53.2500000002499,135,78,135,78,0,90,99.8221313957009,FALSE,FALSE
"36F0",0.500000000000057,53.75000000015,0,82,0,82,71.3128043798189,161.312804379819,98.1329673901268,FALSE,FALSE
"36F1",1.4999999998002,53.75000000015,135,89,135,89,235.923043081021,325.923043081021,100,FALSE,FALSE
"36F2",2.50000000004999,53.75000000015,0,91,0,91,49.7827857166616,139.782785716662,99.9652777777778,FALSE,FALSE
"36F3",3.50000000029982,53.75000000015,135,90,135,90,0,90,100,FALSE,FALSE
"36F4",4.50000000009999,53.75000000015,135,88,135,88,90,180,100,FALSE,FALSE
"36F5",5.49999999990013,53.75000000015,135,84,135,84,90,180,100,FALSE,FALSE
"36F6",6.49999999970026,53.75000000015,90,79,90,79,235.923043081021,325.923043081021,99.86520834938,FALSE,FALSE
"36F7",7.49999999995009,53.75000000015,135,71,90,71,358.007888584014,88.0078885840145,95.5378693978733,FALSE,FALSE
"37E9",-0.499999999800082,54.25000000005,0,86,0,86,310.140086169878,40.1400861698777,99.2190628754506,FALSE,FALSE
"37F0",0.500000000000057,54.25000000005,0,93,0,93,243.940084757288,333.940084757288,100,FALSE,FALSE
"37F1",1.4999999998002,54.25000000005,0,100,0,100,49.4431373705876,139.443137370588,96.6354166666667,FALSE,FALSE
"37F2",2.50000000004999,54.25000000005,0,102,0,102,315.761979933691,45.761979933691,83.4861111111111,FALSE,FALSE
"37F3",3.50000000029982,54.25000000005,0,100,0,100,237.764945290303,327.764945290303,100,FALSE,FALSE
"37F4",4.50000000009999,54.25000000005,0,96,0,96,0,90,100,FALSE,FALSE
"37F5",5.49999999990013,54.25000000005,135,91,0,91,0,90,100,FALSE,FALSE
"37F6",6.49999999970026,54.25000000005,0,84,0,84,0,90,100,FALSE,FALSE
"37F7",7.49999999995009,54.25000000005,0,74,0,74,90,180,100,FALSE,FALSE
"37F8",8.50000000019992,54.25000000005,0,62,0,62,138.769501758402,228.769501758402,97.790294627383,FALSE,FALSE
"38E9",-0.499999999800082,54.7499999999501,0,96,0,96,8.21033308826226,98.2103330882623,99.97113997114,FALSE,FALSE
"38F0",0.500000000000057,54.7499999999501,0,105,0,105,174.925924568301,264.925924568301,73.1388888888889,FALSE,FALSE
"38F1",1.4999999998002,54.7499999999501,0,111,0,111,209.991186590029,299.991186590029,81.7152777777778,FALSE,FALSE
"38F2",2.50000000004999,54.7499999999501,45,110,45,110,201.044901443413,291.044901443413,75.75,FALSE,FALSE
"38F3",3.50000000029982,54.7499999999501,0,108,0,108,0,90,99.9861111111111,FALSE,FALSE
"38F4",4.50000000009999,54.7499999999501,0,103,0,103,229.096531732109,319.096531732109,100,FALSE,FALSE
"38F5",5.49999999990013,54.7499999999501,0,97,0,97,270,0,100,FALSE,FALSE
"38F6",6.49999999970026,54.7499999999501,0,88,0,88,0,90,100,FALSE,FALSE
"38F7",7.49999999995009,54.7499999999501,0,76,0,76,354.50557385669,84.5055738566903,100,FALSE,FALSE
