"metric","n_bins","bin","n","metric_min","metric_max","median_ratio","iqr_ratio_low","iqr_ratio_high"
"D",4,1,3018,0.16,0.458715596330275,3.70381078066318,2.55712651893172,4.70387709899435
"D",4,2,3017,0.458725321795876,0.601465201465201,4.12048269005824,2.78398037376908,5.21454781886446
"D",4,3,3017,0.601538461538462,0.779503279699499,4.19966752212397,2.91420568391761,5.39383137563335
"D",4,4,3017,0.779546550892426,0.999759237815714,4.40867506257676,2.99421976104722,5.82965184042251
"D",10,1,1207,0.16,0.363192122182249,3.45371363944968,2.35112214617451,4.44698531231695
"D",10,2,1207,0.36322188449848,0.429692832764505,3.90502578405177,2.69010199412569,4.85744256799625
"D",10,3,1207,0.429777859372131,0.483660130718954,3.947976375072,2.71816868448344,5.02767040110798
"D",10,4,1207,0.483718735252478,0.539229405728146,4.06405110612175,2.74167109780913,5.18828278130561
"D",10,5,1207,0.539310344827586,0.601465201465201,4.23777265374725,2.87721739717387,5.32809306527555
"D",10,6,1207,0.601538461538462,0.668707151963711,4.22613127975089,2.8938192786183,5.4102999573721
"D",10,7,1207,0.668773019426591,0.740740740740741,4.23327972812274,2.96820703466291,5.39838951501593
"D",10,8,1207,0.740853658536585,0.822117445349336,4.15678091346218,2.83648887722238,5.41046360235566
"D",10,9,1207,0.822178640812456,0.900530222693531,4.30914223910621,2.99174824116471,5.71994753641244
"D",10,10,1206,0.900568383586884,0.999759237815714,4.57008150979372,3.10575596579712,6.22277190502693
