"metric","n_bins","bin","n","metric_min","metric_max","median_ratio","iqr_ratio_low","iqr_ratio_high"
"size_CV",4,1,3018,0,0.325084103411872,4.45840402511238,3.06091339990893,5.7980308421104
"size_CV",4,2,3017,0.325153944819337,0.454284537129885,4.17623323957213,2.85333704060332,5.31624698395291
"size_CV",4,3,3017,0.454301453742363,0.623142209233239,4.06215284883629,2.68880325506106,5.10782945458524
"size_CV",4,4,3017,0.623184516198178,4.43171518143331,3.72649033696618,2.6255728547096,4.7552650808503
"size_CV",10,1,1207,0,0.239879110204987,4.47977257044707,3.12342437351516,6.00258145100328
"size_CV",10,2,1207,0.239879148004382,0.298794692729037,4.39622758369196,3.00866500266629,5.65991002876112
"size_CV",10,3,1207,0.298823265259458,0.350154848026538,4.42052017387498,3.05708023071521,5.62700417170605
"size_CV",10,4,1207,0.350188309873388,0.401933026438563,4.21952846505254,2.84778815650041,5.36219037944318
"size_CV",10,5,1207,0.401938263526708,0.454284537129885,4.10613575946277,2.73887067621754,5.16080047027
"size_CV",10,6,1207,0.454301453742363,0.515158522522261,4.12574088912731,2.65271533628074,5.14010483414423
"size_CV",10,7,1207,0.515184386512725,0.585377721526823,4.0380556744396,2.7429197884582,5.10967927488602
"size_CV",10,8,1207,0.585452672043689,0.670749174908453,3.90472901865857,2.623206181792,5.00786896833847
"size_CV",10,9,1207,0.670793035728848,0.807872141289397,3.78803842902146,2.63027265797268,4.74060067926169
"size_CV",10,10,1206,0.807959984646771,4.43171518143331,3.6114694948276,2.61185934165445,4.65630613851721
