"stat_rec","n_total_hauls","n_low_cv_hauls","pct_of_group_in_low_cv_decile","flagged"
"27E9",3,1,33.3,FALSE
"28E8",3,0,0,FALSE
"28E9",8,1,12.5,FALSE
"28F0",24,11,45.8,TRUE
"28F1",1,0,0,FALSE
"29E8",2,2,100,FALSE
"29E9",11,1,9.1,FALSE
"29F0",30,12,40,FALSE
"29F1",23,6,26.1,FALSE
"30E9",3,0,0,FALSE
"30F0",31,4,12.9,FALSE
"30F1",34,8,23.5,TRUE
"31F1",54,3,5.6,FALSE
"31F2",63,10,15.9,FALSE
"31F3",5,0,0,FALSE
"32F1",76,2,2.6,FALSE
"32F2",64,10,15.6,FALSE
"32F3",48,0,0,FALSE
"33F1",62,0,0,FALSE
"33F2",72,3,4.2,FALSE
"33F3",82,19,23.2,FALSE
"33F4",78,4,5.1,FALSE
"34F1",48,0,0,FALSE
"34F2",63,0,0,FALSE
"34F3",84,14,16.7,FALSE
"34F4",89,12,13.5,FALSE
"35F0",47,1,2.1,FALSE
"35F1",57,3,5.3,FALSE
"35F2",65,0,0,FALSE
"35F3",75,1,1.3,FALSE
"35F4",87,6,6.9,FALSE
"35F5",4,0,0,FALSE
"36F0",65,2,3.1,TRUE
"36F1",74,5,6.8,FALSE
"36F2",76,3,3.9,FALSE
"36F3",92,1,1.1,TRUE
"36F4",93,0,0,TRUE
"36F5",104,2,1.9,TRUE
"36F6",91,3,3.3,TRUE
"36F7",78,3,3.8,FALSE
"36F8",3,0,0,FALSE
"37E9",20,1,5,FALSE
"37F0",71,7,9.9,TRUE
"37F1",70,6,8.6,TRUE
"37F2",68,7,10.3,TRUE
"37F3",92,8,8.7,TRUE
"37F4",90,0,0,TRUE
"37F5",95,3,3.2,TRUE
"37F6",94,4,4.3,FALSE
"37F7",105,5,4.8,FALSE
"37F8",72,4,5.6,FALSE
"38E9",61,4,6.6,TRUE
"38F0",70,14,20,TRUE
"38F1",69,8,11.6,TRUE
"38F2",67,2,3,TRUE
"38F3",72,5,6.9,TRUE
"38F4",78,6,7.7,TRUE
"38F5",91,7,7.7,TRUE
"38F6",99,3,3,TRUE
"38F7",111,8,7.2,TRUE
"38F8",40,3,7.5,TRUE
"39E8",59,3,5.1,TRUE
"39E9",65,3,4.6,TRUE
"39F0",68,13,19.1,FALSE
"39F1",77,10,13,FALSE
"39F2",78,7,9,TRUE
"39F3",68,7,10.3,TRUE
"39F4",82,15,18.3,TRUE
"39F5",78,15,19.2,TRUE
"39F6",87,8,9.2,TRUE
"39F7",101,13,12.9,TRUE
"39F8",43,0,0,TRUE
"40E8",61,6,9.8,TRUE
"40E9",67,10,14.9,FALSE
"40F0",69,13,18.8,FALSE
"40F1",74,9,12.2,FALSE
