"stat_rec","n_joined","n_predicted","n_dropped","pct_dropped"
"30F1",36,34,2,5.6
"28F0",25,24,1,4
"40F4",81,79,2,2.5
"38F8",41,40,1,2.4
"39F8",44,43,1,2.3
"37F5",97,95,2,2.1
"39E8",60,59,1,1.7
"38E9",62,61,1,1.6
"40E8",62,61,1,1.6
"41F6",64,63,1,1.6
"41G2",62,61,1,1.6
"36F0",66,65,1,1.5
"38F2",68,67,1,1.5
"39E9",66,65,1,1.5
"40F5",67,66,1,1.5
"41F5",67,66,1,1.5
"44F3",66,65,1,1.5
"37F0",72,71,1,1.4
"37F1",71,70,1,1.4
"37F2",69,68,1,1.4
"38F0",71,70,1,1.4
"38F1",70,69,1,1.4
"38F3",73,72,1,1.4
"39F3",69,68,1,1.4
"40F2",73,72,1,1.4
"40F6",71,70,1,1.4
"41F7",70,69,1,1.4
"38F4",79,78,1,1.3
"39F2",79,78,1,1.3
"39F5",79,78,1,1.3
"40F3",78,77,1,1.3
"40F7",75,74,1,1.3
"39F4",83,82,1,1.2
"41F4",80,79,1,1.2
"36F3",93,92,1,1.1
"36F4",94,93,1,1.1
"36F6",92,91,1,1.1
"37F3",93,92,1,1.1
"37F4",91,90,1,1.1
"38F5",92,91,1,1.1
"39F6",88,87,1,1.1
"36F5",105,104,1,1
"38F6",100,99,1,1
"39F7",102,101,1,1
"38F7",112,111,1,0.9
"28E9",8,8,0,0
"29E9",11,11,0,0
"29F0",30,30,0,0
"29F1",23,23,0,0
"30F0",31,31,0,0
"31F1",54,54,0,0
"31F2",63,63,0,0
"31F3",5,5,0,0
"32F1",76,76,0,0
"32F2",64,64,0,0
"32F3",48,48,0,0
"33F1",62,62,0,0
"33F2",72,72,0,0
"33F3",82,82,0,0
"33F4",78,78,0,0
"34F1",48,48,0,0
"34F2",63,63,0,0
"34F3",84,84,0,0
"34F4",89,89,0,0
"35F0",47,47,0,0
"35F1",57,57,0,0
"35F2",65,65,0,0
"35F3",75,75,0,0
"35F4",87,87,0,0
"36F1",74,74,0,0
"36F2",76,76,0,0
"36F7",78,78,0,0
"37E9",20,20,0,0
"37F6",94,94,0,0
"37F7",105,105,0,0
"37F8",72,72,0,0
"39F0",68,68,0,0
"39F1",77,77,0,0
"40E9",67,67,0,0
"40F0",69,69,0,0
"40F1",74,74,0,0
"40G2",8,8,0,0
"41E7",67,67,0,0
"41E8",72,72,0,0
"41E9",68,68,0,0
"41F0",67,67,0,0
"41F1",64,64,0,0
"41F2",62,62,0,0
"41F3",63,63,0,0
"41G0",26,26,0,0
"41G1",62,62,0,0
"42E7",48,48,0,0
"42E8",62,62,0,0
"42E9",65,65,0,0
"42F0",60,60,0,0
"42F1",59,59,0,0
"42F2",67,67,0,0
"42F3",66,66,0,0
"42F4",75,75,0,0
"42F5",76,76,0,0
"42F6",77,77,0,0
"42F7",69,69,0,0
"42G1",94,94,0,0
"42G2",103,103,0,0
"43E8",69,69,0,0
"43E9",65,65,0,0
"43F0",60,60,0,0
"43F1",63,63,0,0
"43F2",67,67,0,0
"43F3",67,67,0,0
"43F4",67,67,0,0
"43F5",62,62,0,0
"43F6",64,64,0,0
"43F7",62,62,0,0
"43F8",61,61,0,0
"43G0",29,29,0,0
"43G1",150,150,0,0
"43G2",52,52,0,0
"44E6",61,61,0,0
"44E7",65,65,0,0
"44E8",64,64,0,0
"44E9",66,66,0,0
"44F0",65,65,0,0
"44F1",64,64,0,0
"44F2",68,68,0,0
"44F4",65,65,0,0
"44F5",66,66,0,0
"44F8",98,98,0,0
"44F9",93,93,0,0
"44G0",120,120,0,0
"44G1",110,110,0,0
"45E6",60,60,0,0
"45E7",58,58,0,0
"45E8",69,69,0,0
"45E9",68,68,0,0
"45F0",65,65,0,0
"45F1",67,67,0,0
"45F2",66,66,0,0
"45F3",69,69,0,0
"45F4",61,61,0,0
"45F9",57,57,0,0
"45G0",78,78,0,0
"45G1",94,94,0,0
"46E6",18,18,0,0
"46E7",57,57,0,0
"46E8",68,68,0,0
"46E9",67,67,0,0
"46F0",69,69,0,0
"46F1",68,68,0,0
"46F2",70,70,0,0
"46F3",65,65,0,0
"46G0",94,94,0,0
"46G1",6,6,0,0
"47E6",16,16,0,0
"47E7",59,59,0,0
"47E8",62,62,0,0
"47E9",63,63,0,0
"47F0",65,65,0,0
"47F1",66,66,0,0
"47F2",60,60,0,0
"47F3",58,58,0,0
"48E7",31,31,0,0
"48E8",48,48,0,0
"48E9",61,61,0,0
"48F0",67,67,0,0
"48F1",65,65,0,0
"48F2",60,60,0,0
"48F3",57,57,0,0
"49E7",6,6,0,0
"49E8",39,39,0,0
"49E9",45,45,0,0
"49F0",58,58,0,0
"49F1",61,61,0,0
"49F2",60,60,0,0
"49F3",60,60,0,0
"50E7",6,6,0,0
"50E8",33,33,0,0
"50E9",45,45,0,0
"50F0",59,59,0,0
"50F1",56,56,0,0
"50F2",56,56,0,0
"50F3",54,54,0,0
"51E8",39,39,0,0
"51E9",47,47,0,0
"51F0",53,53,0,0
"51F1",53,53,0,0
"51F2",53,53,0,0
