"year","n_joined","n_predicted","n_dropped","pct_dropped"
1985,437,437,0,0
1986,454,452,2,0.4
1987,456,456,0,0
1988,404,403,1,0.2
1989,427,427,0,0
1990,379,378,1,0.3
1991,424,384,40,9.4
1992,375,375,0,0
1993,374,374,0,0
1994,363,363,0,0
1995,340,340,0,0
1996,329,328,1,0.3
1997,363,363,0,0
1998,404,404,0,0
1999,358,358,0,0
2000,386,386,0,0
2001,430,430,0,0
2002,420,420,0,0
2003,417,417,0,0
2004,376,376,0,0
2005,390,390,0,0
2006,381,381,0,0
2007,373,373,0,0
2008,392,392,0,0
2009,398,398,0,0
2010,374,373,1,0.3
2011,397,396,1,0.3
2012,389,388,1,0.3
2013,393,393,0,0
2014,340,340,0,0
2015,374,374,0,0
