"Year","n_hl_hauls","n_datras_state","n_fishglob_joined","n_eeos_predictions","hl_to_datras_drop","datras_to_join_drop","join_to_pred_drop","pct_pred_of_hl"
1985,517,517,437,437,0,80,0,84.5
1986,531,531,454,452,0,77,2,85.1
1987,542,542,456,456,0,86,0,84.1
1988,407,407,404,403,0,3,1,99
1989,427,427,427,427,0,0,0,100
1990,381,381,379,378,0,2,1,99.2
1991,425,425,424,384,0,1,40,90.4
1992,378,378,375,375,0,3,0,99.2
1993,374,374,374,374,0,0,0,100
1994,363,363,363,363,0,0,0,100
1995,340,340,340,340,0,0,0,100
1996,329,329,329,328,0,0,1,99.7
1997,363,363,363,363,0,0,0,100
1998,404,404,404,404,0,0,0,100
1999,358,358,358,358,0,0,0,100
2000,387,387,386,386,0,1,0,99.7
2001,430,430,430,430,0,0,0,100
2002,422,422,420,420,0,2,0,99.5
2003,417,417,417,417,0,0,0,100
2004,377,377,376,376,0,1,0,99.7
2005,391,391,390,390,0,1,0,99.7
2006,385,385,381,381,0,4,0,99
2007,374,374,373,373,0,1,0,99.7
2008,394,394,392,392,0,2,0,99.5
2009,400,400,398,398,0,2,0,99.5
2010,374,374,374,373,0,0,1,99.7
2011,397,397,397,396,0,0,1,99.7
2012,390,390,389,388,0,1,1,99.5
2013,394,394,393,393,0,1,0,99.7
2014,342,342,340,340,0,2,0,99.4
2015,376,376,374,374,0,2,0,99.5
