"haul_id","join_key","year","stat_rec","S","N","E","B_obs","exclusion_reason"
"NS-IBTS 1986 1 DK 26D4 GOV 20 20","NS-IBTS_1986_1_DK_26D4_20",1986,"37F5",11,10305,100734.846666452,0,"bad_B_obs"
"NS-IBTS 1986 1 NL 64T0 GOV 52 52","NS-IBTS_1986_1_NL_64T0_52",1986,"36F6",1,8,21.4508490174338,279.406447871759,"S_lt_2"
"NS-IBTS 1988 1 NO 58EJ GOV 60024 35","NS-IBTS_1988_1_NO_58EJ_35",1988,"44F3",1,2,2,22.8694775700767,"S_lt_2"
"NS-IBTS 1990 1 GB-SCT 749S GOV 49 40","NS-IBTS_1990_1_GB-SCT_749S_40",1990,"40F4",11,240,1370.6985394706,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 1 1","NS-IBTS_1991_1_DK_26D4_1",1991,"41F7",9,8559,56899.0753787259,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 10 10","NS-IBTS_1991_1_DK_26D4_10",1991,"36F5",12,17505,262915.276021828,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 11 11","NS-IBTS_1991_1_DK_26D4_11",1991,"36F4",15,7207,100135.818828558,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 12 12","NS-IBTS_1991_1_DK_26D4_12",1991,"37F4",10,11423,95084.4498840858,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 13 13","NS-IBTS_1991_1_DK_26D4_13",1991,"36F3",11,7250,68495.233407461,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 14 14","NS-IBTS_1991_1_DK_26D4_14",1991,"37F3",12,1040,8834.63315925159,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 15 15","NS-IBTS_1991_1_DK_26D4_15",1991,"37F2",11,3398,12490.885650944,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 16 16","NS-IBTS_1991_1_DK_26D4_16",1991,"37F1",16,3866,35707.9374866192,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 17 17","NS-IBTS_1991_1_DK_26D4_17",1991,"37F0",14,2240,24368.4865285738,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 18 18","NS-IBTS_1991_1_DK_26D4_18",1991,"36F0",18,2804,37835.0379430773,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 19 19","NS-IBTS_1991_1_DK_26D4_19",1991,"38F0",16,24078,266435.486648383,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 2 2","NS-IBTS_1991_1_DK_26D4_2",1991,"40F7",7,6227,48209.0851404616,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 20 20","NS-IBTS_1991_1_DK_26D4_20",1991,"38E9",17,5515,26758.984661202,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 21 21","NS-IBTS_1991_1_DK_26D4_21",1991,"39E8",13,13854,117623.552227278,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 22 22","NS-IBTS_1991_1_DK_26D4_22",1991,"40E8",12,13017,42708.9589027791,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 24 24","NS-IBTS_1991_1_DK_26D4_24",1991,"39E9",16,49982,400581.030415278,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 26 26","NS-IBTS_1991_1_DK_26D4_26",1991,"38F1",8,3567,18982.3516333249,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 27 27","NS-IBTS_1991_1_DK_26D4_27",1991,"38F2",6,1779,12896.5801256188,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 28 28","NS-IBTS_1991_1_DK_26D4_28",1991,"38F3",9,17554,73612.385006572,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 29 29","NS-IBTS_1991_1_DK_26D4_29",1991,"38F4",13,7469,82052.9720457894,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 3 3","NS-IBTS_1991_1_DK_26D4_3",1991,"39F7",7,11747,51232.6469730744,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 30 30","NS-IBTS_1991_1_DK_26D4_30",1991,"39F4",11,19967,30945.7878819054,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 31 31","NS-IBTS_1991_1_DK_26D4_31",1991,"39F5",11,4640,11993.6484338459,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 32 32","NS-IBTS_1991_1_DK_26D4_32",1991,"39F6",9,7563,104905.830824901,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 33 33","NS-IBTS_1991_1_DK_26D4_33",1991,"41F6",13,4859,34205.7658251442,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 34 34","NS-IBTS_1991_1_DK_26D4_34",1991,"40F6",17,5035,33521.6629593579,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 35 35","NS-IBTS_1991_1_DK_26D4_35",1991,"40F5",16,3646,29823.7001264556,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 36 36","NS-IBTS_1991_1_DK_26D4_36",1991,"41F5",11,16164,75877.8650496002,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 37 37","NS-IBTS_1991_1_DK_26D4_37",1991,"41F4",7,349,2283.13383316852,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 38 38","NS-IBTS_1991_1_DK_26D4_38",1991,"40F4",4,172,2705.98987556912,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 39 39","NS-IBTS_1991_1_DK_26D4_39",1991,"40F2",13,13868,87128.8369439344,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 4 4","NS-IBTS_1991_1_DK_26D4_4",1991,"39F8",9,71423,269590.971683311,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 40 40","NS-IBTS_1991_1_DK_26D4_40",1991,"39F2",10,1651,13526.6808788739,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 41 41","NS-IBTS_1991_1_DK_26D4_41",1991,"39F3",9,543,6262.85947057022,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 42 42","NS-IBTS_1991_1_DK_26D4_42",1991,"40F3",9,677,15838.8487623235,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 5 5","NS-IBTS_1991_1_DK_26D4_5",1991,"38F8",11,27049,251100.417230586,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 6 6","NS-IBTS_1991_1_DK_26D4_6",1991,"38F7",11,17640,86553.0616085873,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 7 7","NS-IBTS_1991_1_DK_26D4_7",1991,"38F6",13,25385,140701.560774682,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 8 8","NS-IBTS_1991_1_DK_26D4_8",1991,"38F5",13,5554,56428.9681067062,0,"bad_B_obs"
"NS-IBTS 1991 1 DK 26D4 GOV 9 9","NS-IBTS_1991_1_DK_26D4_9",1991,"37F5",13,17308,98939.0904378084,0,"bad_B_obs"
"NS-IBTS 1996 1 SE 77AR GOV NA 10","NS-IBTS_1996_1_SE_77AR_10",1996,"41G2",19,30448,239081.818965428,0,"bad_B_obs"
"NS-IBTS 2010 1 NL 64T2 GOV 30F151 51","NS-IBTS_2010_1_NL_64T2_51",2010,"30F1",7,9868,39355.5491676139,0,"bad_B_obs"
"NS-IBTS 2011 1 FR 35HT GOV P0012 6","NS-IBTS_2011_1_FR_35HT_6",2011,"28F0",1,7238,10531.0443604282,624468.203624363,"S_lt_2"
"NS-IBTS 2012 1 FR 35HT GOV Q0018 10","NS-IBTS_2012_1_FR_35HT_10",2012,"30F1",1,12443,21282.2222131365,2080560.16022001,"S_lt_2"
