stat_rec,n_years_present,n_years_qualifying,n_years_sparse,total_hauls,year_min,year_max,sparse_haul_threshold,min_years_per_rect,usable_temporal,has_couce_coverage,usable_for_fishing_analysis
27E9,3,0,3,3,2010,2013,5,10,FALSE,FALSE,FALSE
28E8,3,0,3,3,2010,2012,5,10,FALSE,FALSE,FALSE
28E9,4,0,4,8,2010,2013,5,10,FALSE,FALSE,FALSE
28F0,9,0,9,25,2007,2015,5,10,FALSE,FALSE,FALSE
28F1,1,0,1,1,2013,2013,5,10,FALSE,FALSE,FALSE
29E8,1,0,1,2,2012,2012,5,10,FALSE,FALSE,FALSE
29E9,4,0,4,11,2009,2013,5,10,FALSE,FALSE,FALSE
29F0,9,0,9,30,2007,2015,5,10,FALSE,FALSE,FALSE
29F1,9,0,9,23,2007,2015,5,10,FALSE,FALSE,FALSE
30E9,3,0,3,3,2010,2012,5,10,FALSE,FALSE,FALSE
30F0,9,0,9,31,2007,2015,5,10,FALSE,FALSE,FALSE
30F1,9,3,6,36,2007,2015,5,10,FALSE,FALSE,FALSE
31F1,21,0,21,54,1992,2015,5,10,FALSE,TRUE,FALSE
31F2,30,1,29,63,1985,2015,5,10,FALSE,TRUE,FALSE
31F3,5,0,5,5,2009,2014,5,10,FALSE,TRUE,FALSE
32F1,31,1,30,76,1985,2015,5,10,FALSE,TRUE,FALSE
32F2,29,0,29,64,1985,2015,5,10,FALSE,TRUE,FALSE
32F3,27,0,27,48,1985,2015,5,10,FALSE,TRUE,FALSE
33F1,31,1,30,62,1985,2015,5,10,FALSE,TRUE,FALSE
33F2,31,0,31,72,1985,2015,5,10,FALSE,TRUE,FALSE
33F3,31,2,29,82,1985,2015,5,10,FALSE,TRUE,FALSE
33F4,31,0,31,78,1985,2015,5,10,FALSE,TRUE,FALSE
34F1,30,0,30,48,1985,2015,5,10,FALSE,TRUE,FALSE
34F2,31,0,31,63,1985,2015,5,10,FALSE,TRUE,FALSE
