stat_rec,mean_ln_B_obs,mean_annual_hours_total,n_hauls
31F1,11.846969516087931,57692.5806451613,54
31F2,12.554686575148716,45377.8064516129,63
32F1,10.974593451881779,33904.74193548387,76
32F2,11.975366743635744,27952.129032258064,64
32F3,10.609927104823788,29421.548387096773,48
33F1,10.18876184924228,8061.193548387096,62
33F2,10.308352704437175,25560.645161290322,72
33F3,11.119368854221849,36314.87096774193,82
33F4,10.917189036690397,21881.064516129034,78
34F1,9.450886002006419,1913.354838709677,48
34F2,10.311723860688314,24964.870967741936,63
34F3,11.642797985155996,21291.41935483871,84
34F4,11.221836720573405,26207,89
35F0,10.538829468660309,9326.032258064517,47
35F1,10.331093635078677,4178.612903225807,57
35F2,10.410679123011523,18517.225806451614,65
35F3,10.700585813706518,22357.548387096773,75
35F4,11.495202534397448,28272.774193548386,87
36F0,12.434886594244393,6222.709677419354,65
36F1,11.842421093852236,8523.193548387095,74
36F2,11.652749189334646,19729.354838709674,76
36F3,11.808801955131015,19164.032258064515,92
36F4,11.374364073538706,28505.064516129034,93
36F5,11.289979054722663,22188.516129032258,104
36F6,10.519925364995247,39415.967741935485,91
36F7,10.755022493588779,40873.032258064515,78
37E9,11.929628557017022,25467.806451612898,20
37F0,12.149366947650469,30485.645161290322,71
37F1,12.064523797838094,32300.032258064515,70
37F2,12.092912055866359,35884.54838709677,68
37F3,12.126870641146915,14877.419354838708,92
37F4,11.864804470805177,26115.90322580645,90
37F5,11.25723666638821,22124.290322580648,95
37F6,11.544399179449577,27076.870967741932,94
37F7,11.661978180791886,34432.35483870968,105
37F8,10.816119037325791,75348.7741935484,72
38E9,12.786471047865414,27225.258064516132,61
38F0,12.945899979788676,12652.58064516129,70
38F1,11.535324536030592,18963.967741935485,69
38F2,10.55091983587154,9138.806451612903,67
38F3,11.95814062116567,9374.967741935483,72
38F4,12.026221958373762,14545.032258064517,78
38F5,11.639708385356304,10696.322580645163,91
38F6,11.677163961551965,20343.09677419355,99
38F7,10.698062630612947,22089.258064516132,111
38F8,9.715659004995292,39785.96774193548,40
39E8,11.93759494132679,43329.4193548387,59
39E9,12.460877816205718,20517.064516129034,65
39F0,12.965486384040863,8435.709677419356,68
39F1,11.7861977562845,20967.41935483871,77
39F2,10.770043401644614,8257.258064516129,78
39F3,10.961407063623726,13628.096774193551,68
39F4,11.598147499265412,14620.483870967742,82
39F5,11.717685726870423,14405.935483870966,78
39F6,11.562524543438121,39363.32258064517,87
39F7,10.556730033915485,34737.903225806454,101
39F8,9.827412086845284,39971.67741935483,43
40E8,11.508667057304987,9065.741935483868,61
40E9,12.474755759671758,2898.7096774193546,67
40F0,12.57862179160777,2981.0967741935483,69
40F1,12.279869057038798,3414.548387096775,74
40F2,12.40670398858834,3971.903225806452,72
40F3,11.026470415672787,6627.903225806451,77
40F4,10.828083609691388,12276.096774193551,79
40F5,11.791603034399238,24791.58064516129,66
40F6,11.081070168602922,18988,70
40F7,10.513492465818318,29519.645161290326,74
41E7,11.981764675586993,43508.967741935485,67
41E8,11.608656176681468,4747.806451612904,72
41E9,11.953419628100395,1729.451612903226,68
41F0,12.893758318016147,3412.7419354838707,67
41F1,12.594453383131448,2753.903225806452,64
41F2,12.183023786052626,2919,62
41F3,11.798009029831668,5224.064516129033,63
41F4,11.838632297270758,7233.5161290322585,79
41F5,11.564782326103098,28195.161290322583,66
41F6,10.969049924038252,23953.064516129034,63
41F7,10.973595646738932,27881.51612903226,69
42E7,11.426480797796657,7922.838709677421,48
42E8,11.6329967193834,2992.266666666666,62
42E9,12.244531264427438,1818.1935483870968,65
42F0,12.481198481325828,6588.322580645162,60
42F1,12.371456688029213,1583.548387096774,59
42F2,11.610943033587066,2741.8709677419356,67
42F3,11.594207103203217,5021.4838709677415,66
42F4,11.499309585185808,6529.806451612904,75
42F5,11.691371719361669,8067.16129032258,76
42F6,11.170366934038864,22363.483870967742,77
42F7,10.536308429581828,30018.290322580648,69
43E8,12.184835051757478,8223.096774193551,69
43E9,12.560956069684384,4008.4838709677415,65
43F0,12.664487428541225,3049.58064516129,60
43F1,12.307543583499287,1343.2258064516127,63
43F2,12.001903464427102,1632.2258064516127,67
43F3,11.068085593527805,3922.096774193548,67
43F4,11.138160083164728,9097.032258064517,67
43F5,11.451831724329917,11198.064516129034,62
43F6,11.570558442853683,14120.580645161292,64
43F7,11.028132665976516,42260.516129032265,62
44E6,12.07538899872302,20294.709677419352,61
44E7,11.81130168537906,24286.064516129034,65
44E8,12.486228646189712,14197.516129032263,64
44E9,12.520269346411306,9177.580645161292,66
44F0,12.446113941916558,12888.258064516132,65
44F1,12.58919519631902,2449.58064516129,64
44F2,11.578468002697141,4418.032258064517,68
44F3,11.10570863244363,9339,65
44F4,11.790912869928881,6970,65
44F5,12.412176397773598,19268.709677419356,66
45E6,12.527095198079827,1095.1290322580646,60
45E7,12.271431525600029,4401.935483870967,58
45E8,12.991991682203079,16788.064516129034,69
45E9,12.663099635531015,13744.290322580644,68
45F0,11.80949351698385,38805.70967741936,65
45F1,12.365550718199833,10352.322580645163,67
45F2,11.278908052494877,4106.161290322581,66
45F3,12.345990178965897,6699.645161290323,69
45F4,12.445244169587076,14311.193548387097,61
46E6,12.07690321548027,1769.2258064516125,18
46E7,13.078153874521687,1179.6774193548385,57
46E8,13.372594276354304,5708.4516129032245,68
46E9,12.410283073193577,10942.483870967742,67
46F0,12.325726959189806,19514.161290322583,69
46F1,12.513519531887864,4628.354838709677,68
46F2,12.499727047760542,1529.2903225806454,70
46F3,12.25508087946221,11744.935483870966,65
47E6,12.317181550492352,4865.096774193548,16
47E7,13.128539717131135,1287.6206896551726,59
47E8,13.532582602573079,2219.290322580645,62
47E9,12.855613311448964,8197.096774193551,63
47F0,12.45808579736675,8943.096774193551,65
47F1,12.488405288798473,2933.0322580645166,66
47F2,12.451908306175904,3984.58064516129,60
47F3,12.091251499437332,11957,58
48E7,12.385120023265266,2137.2903225806454,31
48E8,13.351016519485153,5542.580645161291,48
48E9,13.072406821913692,3773.032258064517,61
48F0,12.825683979518365,5167.774193548387,67
48F1,12.471909531798882,1547.5806451612905,65
48F2,12.253557404592502,1653.2903225806451,60
48F3,12.554662505099666,11327.709677419354,57
49E8,12.971910241164403,1868.6451612903227,39
49E9,12.972127799954446,7107.322580645163,45
