phase_v2,FP_between,smooth_fit,smooth_se,smooth_lo,smooth_hi,linear_fit,linear_se,linear_lo,linear_hi,centered_at_FP_between
1985-1991,6.223235918080052,0.06536891908878943,0.04307866371051797,-0.019065261783825782,0.14980309996140465,0.06775202272528894,0.09649058022940128,-0.12136951452433759,0.25687355997491546,8.966104274930782
1985-1991,6.262375624947168,0.06443536647713514,0.04246472219007077,-0.018795489015403566,0.14766622196967386,0.06678413668635624,0.097097437027911,-0.12352683988834931,0.2570951132610618,8.966104274930782
1985-1991,6.301515331814284,0.06350181477833011,0.04185085887602307,-0.018525868618675112,0.14552949817533534,0.06581625064742355,0.09770429382642071,-0.12568416525236104,0.25731666654720814,8.966104274930782
1985-1991,6.3406550386814,0.0625682651797068,0.04123707858231498,-0.018256408841630545,0.14339293920104415,0.06484836460849083,0.09831115062493041,-0.12784149061637276,0.25753821983335445,8.966104274930782
1985-1991,6.379794745548516,0.0616347190444145,0.04062338629996943,-0.01798711810352558,0.14125655619235458,0.06388047856955814,0.09891800742344013,-0.1299988159803845,0.2577597731195008,8.966104274930782
1985-1991,6.418934452415632,0.060701178129182985,0.040009787491594145,-0.017718005354341544,0.13912036161270752,0.06291259253062545,0.09952486422194984,-0.13215614134439624,0.25798132640564714,8.966104274930782
1985-1991,6.458074159282748,0.05976764433002536,0.03939628752965231,-0.01744907922809316,0.1369843678881439,0.06194470649169276,0.10013172102045956,-0.13431346670840796,0.25820287969179345,8.966104274930782
1985-1991,6.497213866149864,0.058834119545433765,0.03878289140824225,-0.017180347614721043,0.13484858670558858,0.06097682045276004,0.10073857781896926,-0.13647079207241972,0.2584244329779398,8.966104274930782
1985-1991,6.53635357301698,0.05790060569325895,0.03816960382668657,-0.016911817807046724,0.13271302919356462,0.06000893441382735,0.10134543461747897,-0.13862811743643144,0.25864598626408614,8.966104274930782
1985-1991,6.575493279884096,0.05696710473077114,0.037556429247003684,-0.01664349659335608,0.13057770605489838,0.059041048374894656,0.10195229141598869,-0.14078544280044317,0.25886753955023245,8.966104274930782
1985-1991,6.614632986751212,0.05603361862003491,0.03694337164806191,-0.01637538981016643,0.12844262705023626,0.058073162335961964,0.1025591482144984,-0.1429427681644549,0.2590890928363788,8.966104274930782
1985-1991,6.653772693618328,0.05510014932311471,0.03633043448188688,-0.01610750226138357,0.12630780090761298,0.057105276297029245,0.10316600501300811,-0.14510009352846664,0.25931064612252513,8.966104274930782
1985-1991,6.692912400485444,0.05416669880207506,0.035717620662243744,-0.015839837695922676,0.12417323530007279,0.05613739025809655,0.1037728618115178,-0.14725741889247834,0.25953219940867145,8.966104274930782
1985-1991,6.73205210735256,0.05323326901898045,0.035104932556626674,-0.015572398792007829,0.12203893682996872,0.05516950421916386,0.10437971861002752,-0.1494147442564901,0.2597537526948178,8.966104274930782
1985-1991,6.771191814219676,0.05229986193589541,0.034492371982081924,-0.015305187148985162,0.119904911020776,0.05420161818023117,0.10498657540853724,-0.15157206962050182,0.2599753059809642,8.966104274930782
1985-1991,6.810331521086792,0.05136647945507783,0.033879940229960714,-0.01503820339564517,0.11777116230580083,0.05323373214129845,0.10559343220704696,-0.1537293949845136,0.2601968592671105,8.966104274930782
1985-1991,6.849471227953908,0.05043312307733353,0.033267638204829406,-0.014771447804132108,0.11563769395879916,0.05226584610236576,0.10620028900555666,-0.15588672034852527,0.2604184125532568,8.966104274930782
1985-1991,6.888610934821024,0.04949979413787879,0.03265546632002736,-0.01450491984937484,0.11350450812513242,0.05129796006343307,0.10680714580406639,-0.15804404571253705,0.2606399658394032,8.966104274930782
