"layer","phase","n_haul_bin","n_rectangles","n_hauls_min","n_hauls_max","n_hauls_median","mean_abs_residual_mean","mean_abs_residual_iqr","mean_residual_mean","mean_residual_iqr","sd_abs_residual_mean","se_abs_residual_mean"
"rectangle_panel","all",1,32,16,59,48,1.25503825613345,0.291743142729326,-1.24832777658257,0.306433064753222,0.416983945189591,0.0637389299426926
"rectangle_panel","all",2,31,59,64,62,1.32541473740222,0.27304322069919,-1.31890755038761,0.281701006718407,0.418670809837453,0.0532949835225157
"rectangle_panel","all",3,32,64,67,66,1.32303839555631,0.18465148165089,-1.31861822985292,0.187031892145696,0.433313727091696,0.053374000712339
"rectangle_panel","all",4,31,68,75,69,1.30376900673148,0.182507441979792,-1.29938686228915,0.200758644127168,0.451238146199025,0.0537939411248287
"rectangle_panel","all",5,32,76,111,85.5,1.28812264317296,0.265579917250819,-1.27988689418221,0.271847999407938,0.45479404318659,0.048996537816845
"wb_universe","all",1,32,16,59,48,1.25528199150485,0.293693025700554,-1.24857151195398,0.30838294772445,0.417783346560773,0.063909781153671
"wb_universe","all",2,31,59,64,61,1.32491791743273,0.27304322069919,-1.31840602957698,0.281701006718407,0.417822217495451,0.053213509976912
"wb_universe","all",3,32,64,67,66,1.32303839555631,0.18465148165089,-1.31861822985292,0.187031892145696,0.433313727091696,0.053374000712339
"wb_universe","all",4,31,68,75,69,1.30376900673148,0.182507441979792,-1.29938686228915,0.200758644127168,0.451238146199025,0.0537939411248287
"wb_universe","all",5,32,76,111,85.5,1.28812264317296,0.265579917250819,-1.27988689418221,0.271847999407938,0.45479404318659,0.048996537816845
