"layer","phase","metric","n","spearman_rho","spearman_p","ols_slope_log_n","ols_se","ols_p","ols_r2","mean_trend_flag"
"rectangle_panel","all","mean_abs_residual",158,0.024140858417102,0.763353256434439,0.0799983212389456,0.0519348392302612,0.125498743035414,0.0149817940608593,FALSE
"rectangle_panel","all","mean_residual",158,-0.0183644698680048,0.818850114451927,-0.0795509703635896,0.0546156421745698,0.147247606221073,0.0134173195414648,FALSE
"rectangle_panel","all","sd_abs_residual",158,0.243395454771066,0.00205877695660083,0.0360314184480413,0.0196612035935675,0.0687664198804332,0.0210749884087161,FALSE
"rectangle_panel","all","se_abs_residual",158,-0.301010134653758,0.00012148215725489,-0.0280051391308049,0.00269863236650265,1.63400032598448e-19,0.408403256228904,TRUE
"wb_universe","all","mean_abs_residual",158,0.0269545936424413,0.736731523247988,0.0795063023028474,0.0518399374289378,0.127131926398282,0.0148542275869982,FALSE
"wb_universe","all","mean_residual",158,-0.0210426705113071,0.792989105866892,-0.0790184804191408,0.0545204571585885,0.149250961897887,0.0132863264171851,FALSE
"wb_universe","all","sd_abs_residual",158,0.241184539543968,0.00226741997487811,0.0358415744424024,0.0196433933330407,0.0699727323502416,0.0208951614266639,FALSE
"wb_universe","all","sd_residual",158,0.213293599590518,0.00712793646754139,0.0376055236385945,0.0233809259770726,0.109772896075758,0.0163122005960095,FALSE
"wb_universe","all","se_abs_residual",158,-0.305087510870253,9.7077408998297e-05,-0.0280200357952897,0.00269607791374942,1.48569738358578e-19,0.409118038111965,TRUE
"wb_phase","1985-1988","mean_abs_residual",156,0.209945722374942,0.00852553687086811,0.0650007302866957,0.0352657023969923,0.067226349510781,0.0215841112787007,FALSE
"wb_phase","1985-1988","mean_residual",156,-0.203728130194645,0.0107442069102654,-0.0642889977234304,0.0360159689303655,0.0762275325772643,0.0202706878089436,FALSE
"wb_phase","1985-1988","sd_abs_residual",154,0.23183635465581,0.00381463176384632,0.0598845368620163,0.0220959204765621,0.00749721327385086,0.046096307275778,FALSE
"wb_phase","1985-1988","se_abs_residual",154,-0.308217393342704,0.000100731936033384,-0.0305938014585911,0.00772467281357335,0.000114600352328728,0.0935428098565642,TRUE
"wb_phase","1989-2000","mean_abs_residual",156,0.0212036856138296,0.792755949182631,0.0537254838663831,0.0562481155720313,0.340997907415613,0.00588923349001619,FALSE
"wb_phase","1989-2000","mean_residual",156,-0.01896336803775,0.814233080377124,-0.0498453070145228,0.059314286050156,0.402009832272171,0.00456480475907356,FALSE
"wb_phase","1989-2000","sd_abs_residual",156,0.0147746722864398,0.854749797677196,-0.00635264927732279,0.0268547115690244,0.813315435401425,0.000363237160726457,FALSE
"wb_phase","1989-2000","se_abs_residual",156,-0.344591623768301,1.05776722025726e-05,-0.046304951656568,0.00561095426965485,6.48821961964025e-14,0.306635431694123,TRUE
"wb_phase","2001-2007","mean_abs_residual",158,-0.412465401671919,7.23866854616816e-08,-0.149947158620863,0.0653028766642304,0.0229966851236031,0.0326927679571583,TRUE
"wb_phase","2001-2007","mean_residual",158,0.415045904875866,5.88636621415844e-08,0.15296411291858,0.0677059952655471,0.0252535604939553,0.0316824004480808,TRUE
"wb_phase","2001-2007","sd_abs_residual",158,0.528515246539452,9.51298935411544e-13,0.21036050032072,0.0275093140973642,1.97788985493503e-12,0.272641876083313,TRUE
"wb_phase","2001-2007","se_abs_residual",158,0.23321336428707,0.00318861773477846,0.0175140085554634,0.00717457712004316,0.0157603444982243,0.0367936797435492,FALSE
"wb_phase","2008-2015","mean_abs_residual",157,-0.0847357758803221,0.291356365829036,0.0105950219633924,0.11396691275358,0.926050807899668,5.57558244079112e-05,FALSE
"wb_phase","2008-2015","mean_residual",157,0.085949326469513,0.28447618832763,-0.0136027977738465,0.117655727726611,0.908107114906897,8.62305557896768e-05,FALSE
"wb_phase","2008-2015","sd_abs_residual",157,0.136300643642851,0.0887276857685099,0.0708739727675613,0.0415453034580125,0.0900213999844852,0.0184297470243977,FALSE
"wb_phase","2008-2015","se_abs_residual",157,-0.250316085556924,0.00156753525846833,-0.0445755567840452,0.0107497309130756,5.53870448663413e-05,0.099856930205045,TRUE
"partial_pooling","all","shrinkage_ratio",158,0.350706607645471,6.25328129904546e-06,NA,NA,NA,NA,FALSE
"wb_phase_drop_low_n","2001-2007","mean_abs_residual",140,-0.516038779727257,6.78115569953664e-11,-0.754433635114693,0.105718585854663,4.95885794110159e-11,0.269555198009655,TRUE
"wb_phase_drop_low_n","2001-2007","mean_residual",140,0.519275159781565,4.91538812626004e-11,0.764777264845919,0.108944083119699,9.1775685094721e-11,0.263131814723967,TRUE
