"sensitivity","phase","response","n_rectangles","slope","se","p_value","r2"
"panel_unweighted","all","mean_abs_residual",158,-0.0318903369178328,0.0122588060287195,0.0101772752325988,0.0415771236849236
"panel_weight_n","all","mean_abs_residual",158,-0.0307727125229714,0.0123445172815974,0.0137173533779797,0.0383084463351456
"panel_weight_inv_se2","all","mean_abs_residual",158,-0.036961186846218,0.0124502533370277,0.00346287597277789,0.0534740836081056
"panel_unweighted","all","mean_residual",158,0.0332098374238326,0.012886342698393,0.0108887222052891,0.0408359298552816
"panel_weight_n","all","mean_residual",158,0.0320342726815714,0.0129853884991408,0.0147082930696629,0.03754696095233
"panel_weight_inv_se2","all","mean_residual",158,0.0380419927626867,0.0130331722571314,0.0040332105973057,0.0517855075416925
"phase_unweighted","2001-2007","mean_abs_residual",158,-0.119568292639101,0.0171681036380419,8.6596520409536e-11,0.237182837461632
"phase_weight_n","2001-2007","mean_abs_residual",158,-0.120834370137778,0.0169684820595318,3.69171166033222e-11,0.245320112722851
"phase_weight_inv_se2","2001-2007","mean_abs_residual",158,-0.083019320055971,0.0165160770660492,1.35500806057686e-06,0.139388540059973
"phase_drop_lowest_n_decile","2001-2007","mean_abs_residual",140,-0.127173091605843,0.0175919044648779,3.02503580657124e-11,0.274674619144482
"phase_unweighted","2001-2007","mean_residual",158,0.120484165422246,0.0179405176969292,3.2930178751925e-10,0.224271927354904
"phase_weight_n","2001-2007","mean_residual",158,0.122133393454658,0.0177115727517398,1.25643971270014e-10,0.233605215898069
"phase_weight_inv_se2","2001-2007","mean_residual",158,0.08399172339684,0.0169654924855186,1.90060262854032e-06,0.13578106797989
"phase_drop_lowest_n_decile","2001-2007","mean_residual",140,0.130046347744802,0.0180721514750585,3.60946937915241e-11,0.272848888772071
