seed,drop_frac,n_drop,n_keep,n_hauls,converged,phase,fp_slope,p_value
43,0.25,40,118,7981,TRUE,1985-1991,-0.025812495126777645,0.13056449639738263
43,0.25,40,118,7981,TRUE,1992-2001,0.025218180279210908,0.10228389840858881
43,0.25,40,118,7981,TRUE,2002-2007,0.13397367103572913,8.2060300636186e-15
43,0.25,40,118,7981,TRUE,2008-2015,0.0720909665976623,9.043379815126647e-6
44,0.25,40,118,7719,TRUE,1985-1991,-0.03227822675382629,0.07109630136107423
44,0.25,40,118,7719,TRUE,1992-2001,0.010589048282693123,0.5140884174176823
44,0.25,40,118,7719,TRUE,2002-2007,0.1189270814259423,2.534731446970079e-11
44,0.25,40,118,7719,TRUE,2008-2015,0.03952474644840156,0.0184435359585742
45,0.25,40,118,7685,TRUE,1985-1991,-0.025864608991458204,0.15589554029321398
45,0.25,40,118,7685,TRUE,1992-2001,0.010582716854969983,0.5312846777389423
45,0.25,40,118,7685,TRUE,2002-2007,0.11124427829182537,1.0524896730333804e-9
45,0.25,40,118,7685,TRUE,2008-2015,0.04813884320256771,0.005408482664508627
46,0.25,40,118,7805,TRUE,1985-1991,-0.03991476007056896,0.03307578985348061
46,0.25,40,118,7805,TRUE,1992-2001,0.017476772801074673,0.31047143940683936
46,0.25,40,118,7805,TRUE,2002-2007,0.11875615646664628,1.7780310088122516e-10
46,0.25,40,118,7805,TRUE,2008-2015,0.04677098982732686,0.00891835984599657
47,0.25,40,118,7894,TRUE,1985-1991,-0.02044434954044051,0.235169874929377
47,0.25,40,118,7894,TRUE,1992-2001,0.019393070212598996,0.21891388242192544
47,0.25,40,118,7894,TRUE,2002-2007,0.15079634000304454,6.5413358750162695e-18
47,0.25,40,118,7894,TRUE,2008-2015,0.060163756883251374,2.0935596049899888e-4
48,0.25,40,118,7731,TRUE,1985-1991,-0.021322143064562926,0.24460621298916013
48,0.25,40,118,7731,TRUE,1992-2001,0.013240571579702258,0.4274805748325408
48,0.25,40,118,7731,TRUE,2002-2007,0.10910048651811624,2.074095648226862e-9
48,0.25,40,118,7731,TRUE,2008-2015,0.04213196943509237,0.015607182493079342
49,0.25,40,118,7896,TRUE,1985-1991,-0.026795775617444013,0.14212220670770453
49,0.25,40,118,7896,TRUE,1992-2001,0.022373973483989285,0.17648259314486378
49,0.25,40,118,7896,TRUE,2002-2007,0.13345841113335738,2.1923455239682887e-13
49,0.25,40,118,7896,TRUE,2008-2015,0.06985587572210711,6.0053776788782056e-5
50,0.25,40,118,7892,TRUE,1985-1991,-0.022839344579122088,0.2223308992084497
50,0.25,40,118,7892,TRUE,1992-2001,0.022429955875107876,0.19158891855656182
50,0.25,40,118,7892,TRUE,2002-2007,0.12789476307565756,6.7320348333810965e-12
50,0.25,40,118,7892,TRUE,2008-2015,0.05684217704934091,0.0013886894215847992
51,0.25,40,118,7852,TRUE,1985-1991,-0.022649307576983687,0.19842966496936634
51,0.25,40,118,7852,TRUE,1992-2001,0.021219507403879918,0.1812595883966218
51,0.25,40,118,7852,TRUE,2002-2007,0.13124238591878526,5.194360018040995e-14
51,0.25,40,118,7852,TRUE,2008-2015,0.05639111763501971,6.076691648529682e-4
52,0.25,40,118,7707,TRUE,1985-1991,-0.01517625191335205,0.35529763051295327
52,0.25,40,118,7707,TRUE,1992-2001,0.006884437254210734,0.645233071421933
52,0.25,40,118,7707,TRUE,2002-2007,0.10816222920287988,3.7824847887284226e-11
52,0.25,40,118,7707,TRUE,2008-2015,0.04116410349868981,0.007638464977856403
53,0.25,40,118,7852,TRUE,1985-1991,-0.023541185835302708,0.18374249031278622
53,0.25,40,118,7852,TRUE,1992-2001,0.00431108837372355,0.7918825980571554
53,0.25,40,118,7852,TRUE,2002-2007,0.10799183524330427,1.317076528392803e-9
53,0.25,40,118,7852,TRUE,2008-2015,0.040516028415736385,0.015928246342530226
54,0.25,40,118,7875,TRUE,1985-1991,-0.03196377385495492,0.07330007969073045
54,0.25,40,118,7875,TRUE,1992-2001,0.006872727609137749,0.6718166841567683
54,0.25,40,118,7875,TRUE,2002-2007,0.10763215006816307,1.4649595113376902e-9
54,0.25,40,118,7875,TRUE,2008-2015,0.05162946394449681,0.002122239811431104
55,0.25,40,118,7721,TRUE,1985-1991,-0.03171366814643079,0.07046655046406493
55,0.25,40,118,7721,TRUE,1992-2001,0.012067218999263288,0.44682284538434547
55,0.25,40,118,7721,TRUE,2002-2007,0.13331257915799463,1.8789208714960004e-14
55,0.25,40,118,7721,TRUE,2008-2015,0.05478864540010183,9.541384891194404e-4
56,0.25,40,118,7818,TRUE,1985-1991,-0.0192535365422072,0.24179085342041695
56,0.25,40,118,7818,TRUE,1992-2001,0.02823876066703569,0.05494368658534865
56,0.25,40,118,7818,TRUE,2002-2007,0.1336708317968133,2.018749964946453e-16
56,0.25,40,118,7818,TRUE,2008-2015,0.057264729966229735,2.0788853213643657e-4
57,0.25,40,118,7938,TRUE,1985-1991,-0.019579396275340364,0.287995406687341
57,0.25,40,118,7938,TRUE,1992-2001,0.02260005129600916,0.18282302040829462
57,0.25,40,118,7938,TRUE,2002-2007,0.13785354083644333,1.1997634644867944e-13
57,0.25,40,118,7938,TRUE,2008-2015,0.06498981259134612,2.714438779441329e-4
58,0.25,40,118,7826,TRUE,1985-1991,-0.03772739163741516,0.04143873420666799
58,0.25,40,118,7826,TRUE,1992-2001,0.011540059776106872,0.4995829219691543
58,0.25,40,118,7826,TRUE,2002-2007,0.11913314142088204,1.4564952037339426e-10
58,0.25,40,118,7826,TRUE,2008-2015,0.0424261736323763,0.016841898380328214
59,0.25,40,118,7806,TRUE,1985-1991,-0.021643062938470507,0.24124296074791143
59,0.25,40,118,7806,TRUE,1992-2001,0.012352900126607384,0.463367352531783
59,0.25,40,118,7806,TRUE,2002-2007,0.10827417830811015,4.730324849659738e-9
59,0.25,40,118,7806,TRUE,2008-2015,0.04639968990090718,0.00766728247860216
60,0.25,40,118,7682,TRUE,1985-1991,-0.02069156598690115,0.263028192080223
60,0.25,40,118,7682,TRUE,1992-2001,0.011048506766438124,0.5107903805825315
60,0.25,40,118,7682,TRUE,2002-2007,0.12044938785580804,6.27357510755718e-11
60,0.25,40,118,7682,TRUE,2008-2015,0.04994635164596027,0.004213940329196335
61,0.25,40,118,7729,TRUE,1985-1991,-0.034939294892395806,0.05613433223594054
61,0.25,40,118,7729,TRUE,1992-2001,0.02259034513891861,0.17564084672409963
61,0.25,40,118,7729,TRUE,2002-2007,0.15701355755833044,1.3457058409914251e-17
61,0.25,40,118,7729,TRUE,2008-2015,0.07396547951324808,1.501662639139436e-5
62,0.25,40,118,7866,TRUE,1985-1991,-0.03556965605364203,0.04580056081520321
62,0.25,40,118,7866,TRUE,1992-2001,0.0014872166571323064,0.9259299162035652
62,0.25,40,118,7866,TRUE,2002-2007,0.12047319262975173,7.415609977661514e-12
62,0.25,40,118,7866,TRUE,2008-2015,0.045725105767458675,0.006253377841921488
63,0.25,40,118,7841,TRUE,1985-1991,-0.012104455288083725,0.4985473495773603
63,0.25,40,118,7841,TRUE,1992-2001,0.024440838560498314,0.13536108018449822
63,0.25,40,118,7841,TRUE,2002-2007,0.13448517888751893,7.706178545808543e-14
63,0.25,40,118,7841,TRUE,2008-2015,0.06025881627486074,3.477878799253759e-4
64,0.25,40,118,7786,TRUE,1985-1991,-0.01823124324594912,0.32791674416138117
64,0.25,40,118,7786,TRUE,1992-2001,0.012089616050747584,0.480053909681538
64,0.25,40,118,7786,TRUE,2002-2007,0.12799088552411,7.827672706508979e-12
64,0.25,40,118,7786,TRUE,2008-2015,0.04698456785746219,0.007508079765372942
65,0.25,40,118,7934,TRUE,1985-1991,-0.01732590023492318,0.3362491058030176
65,0.25,40,118,7934,TRUE,1992-2001,0.010428772689137816,0.5231052607927011
65,0.25,40,118,7934,TRUE,2002-2007,0.11505865426874305,1.0933126187221736e-10
65,0.25,40,118,7934,TRUE,2008-2015,0.05058672702645185,0.0028927853751974358
66,0.25,40,118,7805,TRUE,1985-1991,-0.0389249278678934,0.0361975341538806
66,0.25,40,118,7805,TRUE,1992-2001,0.01789696324413754,0.29743869041722043
66,0.25,40,118,7805,TRUE,2002-2007,0.12410462259562877,4.8886016260593875e-11
66,0.25,40,118,7805,TRUE,2008-2015,0.06378955023579025,3.7818296153431524e-4
67,0.25,40,118,7877,TRUE,1985-1991,-0.03861304950732801,0.03211430095342324
67,0.25,40,118,7877,TRUE,1992-2001,0.005708668629862773,0.7300989894725518
67,0.25,40,118,7877,TRUE,2002-2007,0.12161150008432368,1.589857170821136e-11
67,0.25,40,118,7877,TRUE,2008-2015,0.041542098864445584,0.014550712403619548
68,0.25,40,118,7799,TRUE,1985-1991,-0.020973309241454723,0.2387434277131892
68,0.25,40,118,7799,TRUE,1992-2001,0.018760477668860288,0.2499768521148847
68,0.25,40,118,7799,TRUE,2002-2007,0.12381176121063799,3.383195029530097e-12
68,0.25,40,118,7799,TRUE,2008-2015,0.057539405898981946,6.157213588310761e-4
69,0.25,40,118,7659,TRUE,1985-1991,-0.020006470750572745,0.2599185387600518
69,0.25,40,118,7659,TRUE,1992-2001,0.009000586451990696,0.5807889869583562
69,0.25,40,118,7659,TRUE,2002-2007,0.110904522534539,6.389028074737036e-10
69,0.25,40,118,7659,TRUE,2008-2015,0.05143317081068573,0.0021299926857812324
70,0.25,40,118,7766,TRUE,1985-1991,-0.02549989457929013,0.13588748602943626
70,0.25,40,118,7766,TRUE,1992-2001,0.02195241160681154,0.1554725139062715
70,0.25,40,118,7766,TRUE,2002-2007,0.122113669359404,5.173158032477026e-13
70,0.25,40,118,7766,TRUE,2008-2015,0.04807443797583774,0.002898854175279831
71,0.25,40,118,7794,TRUE,1985-1991,-0.02516248948187359,0.13822096424361574
71,0.25,40,118,7794,TRUE,1992-2001,0.01307599964743172,0.39676417164451344
71,0.25,40,118,7794,TRUE,2002-2007,0.12367176486252009,3.102552865078562e-13
71,0.25,40,118,7794,TRUE,2008-2015,0.05442929591251813,6.685784110629124e-4
72,0.25,40,118,7807,TRUE,1985-1991,-0.027693380076539653,0.1395098219323917
72,0.25,40,118,7807,TRUE,1992-2001,0.02054290665981468,0.23245190944642863
72,0.25,40,118,7807,TRUE,2002-2007,0.1232567147163025,3.8562452329015755e-11
72,0.25,40,118,7807,TRUE,2008-2015,0.05043719472707513,0.0043565730823381475
