stat_rec,1985-1994,1995-2004,2005-2015
31F0,9126.9,4005.1,3612
31F1,89303.7,60692.2,26228.272727272728
31F2,47422.8,50153.4,39177.27272727273
31F3,17907.1,25318.1,21276.363636363636
31F4,NA,NA,49.2
32F0,4615.8,5357.4,1197.5454545454545
32F1,40830.8,34846.6,26752.090909090908
32F2,28849.2,24631.4,30155.454545454544
32F3,26566.2,23336.7,37549
32F4,66.8,791.2222222222223,1164.909090909091
33F1,11211.1,7429.5,5771.909090909091
33F2,24693.7,31613.5,20846.18181818182
33F3,35469.6,48557.1,25954
33F4,17116.8,27972.7,20674.363636363636
33F5,52.77777777777778,53.25,8.5
34F0,19203.9,12332.6,8938.454545454546
34F1,3643.4,1671.8,560.1818181818181
34F2,21598.9,31478.5,22103.363636363636
34F3,18665.5,27106.2,18392.454545454544
34F4,19793.4,31881.2,26879.18181818182
34F5,180.2,198.88888888888889,888.1111111111111
35F0,8294,12888.5,7025.636363636364
35F1,5450.4,4913.3,2354.5454545454545
35F2,18139.7,26027.7,12032.727272727272
35F3,24955.9,27881.5,14973.636363636364
35F4,25565.7,33064.6,26377.545454545456
35F5,6691.1,5370.5,36526.36363636364
35F6,207.6,539.9,6273.818181818182
35F7,31,NA,343
35F8,13.9,10.2,650.6
36E9,544.9,250.375,92.11111111111111
36F0,9933.4,6189.8,2879.2727272727275
36F1,12680.1,10133.2,3280.5454545454545
36F2,23013.2,24672.1,12250.636363636364
36F3,16798.7,25801.9,15279.90909090909
36F4,23563.4,41175.3,21479.090909090908
36F5,20801.4,26709.9,19339.18181818182
36F6,14867.6,51615,50642.63636363636
36F7,16233.9,59574.8,46270.63636363636
36F8,4882,58460.7,47458.36363636364
37E9,42072.9,29627.7,6590.545454545454
37F0,52022.8,34513.1,7245.090909090909
37F1,50133.3,39509.6,9533.818181818182
37F2,43951.7,48088.3,17456.454545454544
37F3,19994,19500.3,6023.363636363636
37F4,28703.2,36793.1,14057.272727272728
37F5,22736.9,28191.4,16051.818181818182
37F6,31470.7,35777.3,15173
37F7,43395.6,39305.4,21853.909090909092
37F8,28703.7,99834.7,95493.45454545454
38E8,32913,28084.2,29610
38E9,42866.3,29262.9,11153.727272727272
38F0,23626.5,13618.3,1798.3636363636363
38F1,31088.4,20537.9,6510.909090909091
38F2,13033,12248.1,2772
38F3,13829.6,12040.8,2901.818181818182
38F4,19356.1,19943.3,5263.818181818182
38F5,12084.7,13879.7,6540.181818181818
38F6,25014.5,26238.7,10736.727272727272
38F7,30219.8,20769.6,15897.545454545454
38F8,4050.5,63421.3,50786.09090909091
39E8,73393,33611.3,24833.545454545456
39E9,22712.1,26953.2,12670.545454545454
39F0,17492.9,6248.8,2190
39F1,30147.6,22665.6,11078
39F2,12762,10227.9,2370.5454545454545
39F3,19124.4,17966.7,4687.272727272727
39F4,21556.5,18838.4,4480.545454545455
39F5,19834.6,16465.7,7598.272727272727
39F6,49576.1,52284.6,18332.363636363636
39F7,53657,37682.4,14861.90909090909
39F8,17754.6,51606.3,49592.09090909091
40E6,55.6,45.8,20
40E7,23114.3,15265.3,6497.090909090909
40E8,20111.7,6304.2,1534.4545454545455
40E9,4841.4,2767.4,1252
40F0,6417.1,2406.1,380.1818181818182
40F1,6778,3119.2,625.3636363636364
40F2,7411.3,3562,1217.8181818181818
40F3,11901.1,6645.3,1818.2727272727273
40F4,17165.4,14881.9,5462.363636363636
40F5,28984.7,29477.6,16719.636363636364
40F6,25138.4,23343.5,9437.181818181818
40F7,38829.6,27046.5,23304.363636363636
40F8,3433.1,17857.8,18614.272727272728
41E6,4388.6,15606.9,8981.6
41E7,67036.7,40463.6,24888.636363636364
41E8,8017.2,5971.5,663.1818181818182
41E9,2290,2690.3,346.3636363636364
41F0,6123,3086.3,1245.6363636363637
41F1,5365.4,2117.7,958.1818181818182
41F2,4574.5,3067.7,1278.8181818181818
41F3,8167.1,6004.4,1839.1818181818182
41F4,12379.6,7642.6,2183.3636363636365
41F5,39226.3,28181.5,18179.272727272728
41F6,36384.9,27433.8,9487.09090909091
41F7,41046.1,32701.7,11531.727272727272
41F8,1929.4,2976.7,4151.363636363636
42E7,15970.3,6319.5,2064.5454545454545
42E8,6934.5,1851.5,190.8
42E9,3060.4,2289.2,260.72727272727275
42F0,9410.6,7023.9,3626.6363636363635
42F1,2765.9,1164.2,889.9090909090909
42F2,3884.9,2861,1594.4545454545455
42F3,9803.3,4162.6,1455.1818181818182
42F4,11510.4,6803.2,1753.4545454545455
42F5,12110,7666.4,4756.181818181818
42F6,28019,27817.3,12264.09090909091
42F7,41149.2,33562,16677.727272727272
42F8,7404.3,10141.6,3760.4545454545455
43E7,2301.8,686.8,131.6
43E8,19754.5,5166.7,518.5454545454545
43E9,6899.7,4363,1057.8181818181818
43F0,6485,2501.8,424.45454545454544
43F1,2761.8,995.6,369.6363636363636
43F2,2570.2,1728.9,691.6363636363636
43F3,6752.5,3302.5,1912.2727272727273
43F4,17726.9,8628.4,1677.7272727272727
43F5,21711.6,9251.9,3409.5454545454545
43F6,18963.1,14934.8,8978.09090909091
43F7,52647.3,46577.1,28893.81818181818
44E6,26435.3,21186.7,13901.454545454546
44E7,48175.4,17696.5,8559
