stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
31F0,decade3_minus_decade1,1985-1994,2005-2015,9126.9,3612,-5514.9,-60.42467869703843,5514.9,2,moderate
31F1,decade3_minus_decade1,1985-1994,2005-2015,89303.7,26228.272727272728,-63075.42727272727,-70.63025078773586,63075.42727272727,3,large_change
31F2,decade3_minus_decade1,1985-1994,2005-2015,47422.8,39177.27272727273,-8245.527272727275,-17.387263663738274,8245.527272727275,2,moderate
31F3,decade3_minus_decade1,1985-1994,2005-2015,17907.1,21276.363636363636,3369.2636363636375,18.815238851425622,3369.2636363636375,1,stable
32F0,decade3_minus_decade1,1985-1994,2005-2015,4615.8,1197.5454545454545,-3418.2545454545457,-74.05551682166788,3418.2545454545457,2,moderate
32F1,decade3_minus_decade1,1985-1994,2005-2015,40830.8,26752.090909090908,-14078.709090909095,-34.480610448262325,14078.709090909095,3,large_change
32F2,decade3_minus_decade1,1985-1994,2005-2015,28849.2,30155.454545454544,1306.2545454545434,4.527870947737003,1306.2545454545434,1,stable
32F3,decade3_minus_decade1,1985-1994,2005-2015,26566.2,37549,10982.8,41.34125317132296,10982.8,3,large_change
32F4,decade3_minus_decade1,1985-1994,2005-2015,66.8,1164.909090909091,1098.109090909091,1643.8758845944478,1098.109090909091,1,stable
33F1,decade3_minus_decade1,1985-1994,2005-2015,11211.1,5771.909090909091,-5439.190909090909,-48.51612160350821,5439.190909090909,2,moderate
33F2,decade3_minus_decade1,1985-1994,2005-2015,24693.7,20846.18181818182,-3847.518181818181,-15.580970781285028,3847.518181818181,2,moderate
33F3,decade3_minus_decade1,1985-1994,2005-2015,35469.6,25954,-9515.599999999999,-26.82748043394907,9515.599999999999,2,moderate
33F4,decade3_minus_decade1,1985-1994,2005-2015,17116.8,20674.363636363636,3557.5636363636368,20.7840462958242,3557.5636363636368,2,moderate
33F5,decade3_minus_decade1,1985-1994,2005-2015,52.77777777777778,8.5,-44.27777777777778,-83.89473684210527,44.27777777777778,1,stable
34F0,decade3_minus_decade1,1985-1994,2005-2015,19203.9,8938.454545454546,-10265.445454545456,-53.455003694798734,10265.445454545456,3,large_change
