scheme,parameter,threshold_value,threshold_method,n_units,n_units_usable_both_periods,pct_units_usable_both_periods
Scheme A (block merge),2x2,1,fixed_1,62,55,88.7
Scheme A (block merge),2x2,2,fixed_2,62,55,88.7
Scheme A (block merge),2x2,3,fixed_3,62,55,88.7
Scheme A (block merge),2x2,5,fixed_5,62,55,88.7
Scheme A (block merge),2x2,10,fixed_10,62,55,88.7
Scheme A (block merge),2x2,15,fixed_15,62,54,87.1
Scheme A (block merge),2x2,20,fixed_20,62,53,85.5
Scheme A (block merge),2x2,30,fixed_30,62,49,79
Scheme A (block merge),2x2,40,fixed_40,62,47,75.8
Scheme A (block merge),2x2,50,fixed_50,62,45,72.6
Scheme A (block merge),2x2,11,reliability_0.7,62,55,88.7
Scheme A (block merge),2x2,19,reliability_0.8,62,54,87.1
Scheme A (block merge),2x2,42,reliability_0.9,62,46,74.2
Scheme A (block merge),3x3,1,fixed_1,34,30,88.2
Scheme A (block merge),3x3,2,fixed_2,34,29,85.3
Scheme A (block merge),3x3,3,fixed_3,34,29,85.3
Scheme A (block merge),3x3,5,fixed_5,34,29,85.3
Scheme A (block merge),3x3,10,fixed_10,34,29,85.3
Scheme A (block merge),3x3,15,fixed_15,34,29,85.3
Scheme A (block merge),3x3,20,fixed_20,34,29,85.3
Scheme A (block merge),3x3,30,fixed_30,34,28,82.4
Scheme A (block merge),3x3,40,fixed_40,34,27,79.4
Scheme A (block merge),3x3,50,fixed_50,34,26,76.5
Scheme A (block merge),3x3,14,reliability_0.7,34,29,85.3
Scheme A (block merge),3x3,23,reliability_0.8,34,29,85.3
Scheme A (block merge),3x3,51,reliability_0.9,34,26,76.5
Scheme B (pressure zones),3-tier,1,fixed_1,22,21,95.5
Scheme B (pressure zones),3-tier,2,fixed_2,22,21,95.5
Scheme B (pressure zones),3-tier,3,fixed_3,22,21,95.5
Scheme B (pressure zones),3-tier,5,fixed_5,22,21,95.5
Scheme B (pressure zones),3-tier,10,fixed_10,22,21,95.5
Scheme B (pressure zones),3-tier,15,fixed_15,22,21,95.5
Scheme B (pressure zones),3-tier,20,fixed_20,22,20,90.9
Scheme B (pressure zones),3-tier,30,fixed_30,22,12,54.5
Scheme B (pressure zones),3-tier,40,fixed_40,22,8,36.4
Scheme B (pressure zones),3-tier,50,fixed_50,22,7,31.8
Scheme B (pressure zones),3-tier,22,reliability_0.7,22,19,86.4
Scheme B (pressure zones),3-tier,38,reliability_0.8,22,8,36.4
Scheme B (pressure zones),3-tier,84,reliability_0.9,22,5,22.7
Scheme B (pressure zones),4-tier,1,fixed_1,49,45,91.8
Scheme B (pressure zones),4-tier,2,fixed_2,49,45,91.8
Scheme B (pressure zones),4-tier,3,fixed_3,49,45,91.8
Scheme B (pressure zones),4-tier,5,fixed_5,49,45,91.8
Scheme B (pressure zones),4-tier,10,fixed_10,49,45,91.8
Scheme B (pressure zones),4-tier,15,fixed_15,49,45,91.8
Scheme B (pressure zones),4-tier,20,fixed_20,49,43,87.8
Scheme B (pressure zones),4-tier,30,fixed_30,49,22,44.9
Scheme B (pressure zones),4-tier,40,fixed_40,49,18,36.7
Scheme B (pressure zones),4-tier,50,fixed_50,49,17,34.7
Scheme B (pressure zones),4-tier,17,reliability_0.7,49,45,91.8
Scheme B (pressure zones),4-tier,28,reliability_0.8,49,23,46.9
Scheme B (pressure zones),4-tier,63,reliability_0.9,49,16,32.7
