stat_rec,n_hauls,mean_D,mean_size_CV,year_min_seen,year_max_seen,SOUTH,NORTH,WEST,EAST,Ecoregion,descriptive_cluster
28E9,8,0.6410168241669018,0.4609414822984345,2010,2013,49.5,50,-1,0,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
29E9,11,0.515332343200146,0.6072617590892476,2009,2013,50,50.5,-1,0,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
28F0,24,0.6449557339836426,0.28222002596288553,2007,2015,49.5,50,0,1,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
29F0,30,0.6205316759087314,0.3519479331268318,2007,2015,50,50.5,0,1,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
30F0,31,0.5131489841598027,0.446927236713044,2007,2015,50.5,51,0,1,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
29F1,23,0.6693863987168568,0.4259115164017592,2007,2015,50,50.5,1,2,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
30F1,34,0.6387176610527306,0.3421007121536662,2007,2015,50.5,51,1,2,Greater North Sea,"southern edge (~49.5-51N, English Channel approach)"
43F8,61,0.5603516043353831,0.571444514487415,1985,2015,57,57.5,8,9,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
44F8,98,0.5273571561729246,0.553080308669949,1985,2015,57.5,58,8,9,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
44F9,93,0.5736813461687257,0.4773273731254814,1985,2015,57.5,58,9,10,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
45F9,57,0.4998578179894947,0.68407198388287,1985,2015,58,58.5,9,10,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
41G0,26,0.6245774870794101,0.4479005141449788,1989,2015,56,56.5,10,11,Baltic Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
43G0,29,0.6233160758200438,0.5261946835466792,1986,2015,57,57.5,10,11,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
44G0,120,0.4976553831005442,0.5976130977678615,1985,2015,57.5,58,10,11,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
45G0,78,0.4903202754845352,0.6277043349229744,1985,2015,58,58.5,10,11,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
46G0,94,0.4852605662614178,0.5922289995426769,1985,2015,58.5,59,10,11,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
41G1,62,0.589876674587033,0.4832614284674847,1985,2015,56,56.5,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
42G1,94,0.5662127202462833,0.5316342652215866,1985,2015,56.5,57,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
43G1,150,0.6085586355544568,0.579447559033283,1985,2015,57,57.5,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
44G1,110,0.5363067850026271,0.5502584357025989,1985,2015,57.5,58,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
45G1,94,0.5331863315989405,0.576671571946863,1985,2015,58,58.5,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
46G1,6,0.6145371759620921,0.45805635653186033,1987,1997,58.5,59,11,12,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
40G2,8,0.7558864429827011,0.3632913122879154,2004,2010,55.5,56,12,13,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
41G2,61,0.6517525468975744,0.44734701680082456,1985,2015,56,56.5,12,13,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
42G2,103,0.6708725185411529,0.5192328219603356,1985,2015,56.5,57,12,13,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
43G2,52,0.6436392749377065,0.5199729981212057,1986,2015,57,57.5,12,13,Greater North Sea,"north-eastern edge (~55.5-59N, Skagerrak/Kattegat approach)"
