variable,stat_rec,n_years_paired,correlation,p_value
D vs fishing_hours,31F1,21,0.07570776840180847,0.7443025186622272
D vs fishing_hours,31F2,30,0.09211736792067178,0.6282863940700333
D vs fishing_hours,31F3,5,-0.3071258641774625,0.615192893957864
D vs fishing_hours,32F1,31,-0.20400699443563836,0.2709781641808511
D vs fishing_hours,32F2,29,0.12603518670758665,0.5147425485041486
D vs fishing_hours,32F3,27,0.2002857552246995,0.3165044740032205
D vs fishing_hours,33F1,31,-0.19067655831335248,0.3041943795361852
D vs fishing_hours,33F2,31,0.13157051367455708,0.48048285237111066
D vs fishing_hours,33F3,31,-0.0771556886190455,0.6799384121375691
D vs fishing_hours,33F4,31,-0.09577609627892424,0.6082831303375926
D vs fishing_hours,34F1,30,0.09963037383146042,0.6004059382504571
D vs fishing_hours,34F2,31,0.24522548857391865,0.18363093493301827
D vs fishing_hours,34F3,31,0.03907008817279577,0.8347034146387928
D vs fishing_hours,34F4,31,-0.09799271083240381,0.5999694951044979
D vs fishing_hours,35F0,31,0.21874402084848826,0.23710648788584499
D vs fishing_hours,35F1,30,-0.06732176590182912,0.7237363269129897
D vs fishing_hours,35F2,31,0.49149318858131047,0.004985720693549365
D vs fishing_hours,35F3,31,-0.28354714275760634,0.12216065155262834
D vs fishing_hours,35F4,31,-0.09900825877436306,0.5961769254972635
D vs fishing_hours,35F5,4,0.8460740931190792,0.15392590688092078
D vs fishing_hours,36F0,31,-0.39035025640933624,0.029929467589444987
D vs fishing_hours,36F1,31,-0.1403680755429964,0.45135350805175456
D vs fishing_hours,36F2,31,0.22615747671244113,0.22118896936133725
D vs fishing_hours,36F3,31,0.0014896401518120837,0.9936543967276483
D vs fishing_hours,36F4,31,0.206016290499064,0.2661842288487148
D vs fishing_hours,36F5,31,-0.09520803699826978,0.6104214924577247
D vs fishing_hours,36F6,31,0.01452216881818344,0.9381961769293133
D vs fishing_hours,36F7,31,0.16846456089475398,0.3649758956381822
D vs fishing_hours,36F8,3,0.21893485515301156,0.8594835597258776
D vs fishing_hours,37E9,15,-0.6039497142396681,0.01711194734873175
D vs fishing_hours,37F0,31,0.0836895811810082,0.6544403850348037
D vs fishing_hours,37F1,31,-0.18555293765311637,0.3176139241812591
D vs fishing_hours,37F2,31,0.27065186448382883,0.14084661696139628
D vs fishing_hours,37F3,31,-0.11918086184838075,0.5230933602045558
D vs fishing_hours,37F4,31,0.0033758784147414397,0.9856199496085783
D vs fishing_hours,37F5,31,0.1803203156268898,0.3316920836225816
D vs fishing_hours,37F6,31,-0.1718244802012523,0.35534892009492725
D vs fishing_hours,37F7,31,0.194845558396891,0.29354246967280706
D vs fishing_hours,37F8,31,0.05451208824323116,0.7708566960617991
D vs fishing_hours,38E9,31,0.5023657767583414,0.003977656096555934
D vs fishing_hours,38F0,31,-0.16350820199253396,0.3794554235764197
D vs fishing_hours,38F1,31,-0.5413083177444743,0.0016629120221586951
D vs fishing_hours,38F2,31,0.15144227746082317,0.4160742210774525
D vs fishing_hours,38F3,31,0.16459803630791703,0.3762432340262012
D vs fishing_hours,38F4,31,0.005512786127863089,0.9765194839974406
D vs fishing_hours,38F5,31,0.2373397515769518,0.19857918349842216
D vs fishing_hours,38F6,31,-0.04755957668601315,0.7994473779042252
D vs fishing_hours,38F7,31,-0.01716796591798326,0.9269636662457372
D vs fishing_hours,38F8,27,-0.016232677374950794,0.9359498865578593
D vs fishing_hours,39E8,31,0.20538349184654234,0.26768800551348837
D vs fishing_hours,39E9,31,0.5275474945002689,0.0022899664267032206
D vs fishing_hours,39F0,31,-0.059842202998097324,0.7491336428026858
D vs fishing_hours,39F1,31,-0.3305857436804509,0.06930293188320413
D vs fishing_hours,39F2,31,-0.45189855414155483,0.010707526036444056
D vs fishing_hours,39F3,31,-0.11572287517889769,0.5353049693269225
D vs fishing_hours,39F4,31,-0.005081380336138156,0.9783565182403181
D vs fishing_hours,39F5,31,-0.0064161809763857765,0.9726729948160615
D vs fishing_hours,39F6,31,-0.07092241994720842,0.7045912720270988
D vs fishing_hours,39F7,31,-0.06279115229692173,0.7371944614178334
D vs fishing_hours,39F8,29,0.31502288600427786,0.09600923400067166
