"b_obs_quartile","metric","n_bins","bin","n","metric_min","metric_max","median_ratio","iqr_ratio_low","iqr_ratio_high"
1,"D",4,1,755,0.16,0.44043321299639,2.90590376175949,1.85021677407628,3.64187261496749
1,"D",4,2,755,0.440972222222222,0.582222222222222,3.15425109345699,2.12759977068203,3.9209146832451
1,"D",4,3,754,0.5822454308094,0.764730119489081,3.15181983295314,2.05646504118182,4.01280745226797
1,"D",4,4,754,0.765107408150974,0.997135983503265,3.1080314579074,1.93493449382749,4.15769364839247
2,"D",4,1,755,0.186009538950715,0.432635983263598,3.60359590373188,2.67828890334509,4.33101001231943
2,"D",4,2,754,0.432666827270537,0.56537508846426,3.93536924877699,2.69900257090759,4.70337147974526
2,"D",4,3,754,0.565446559297218,0.734990577043884,3.98449391631085,3.04374139732149,4.82425388658284
2,"D",4,4,754,0.735153935334278,0.99781181619256,4.03681637696219,2.94459857413085,5.01673919010288
3,"D",4,1,755,0.192589026129146,0.459184072511439,4.36697657954038,3.10288361824613,5.03323031454052
3,"D",4,2,754,0.459232613908873,0.595385249278945,4.55760116856032,3.49262473544924,5.3552061433028
3,"D",4,3,754,0.595658465991317,0.771192560367755,4.56241775245344,3.43403537305633,5.48310678830029
3,"D",4,4,754,0.771517388770157,0.99957936319245,4.60745091904651,3.33275744987927,5.74523176941178
4,"D",4,1,755,0.221964167219642,0.507692307692308,5.20514472782866,3.35552259246364,6.14580526002858
4,"D",4,2,754,0.508070423602516,0.667035398230089,5.43046893092268,4.06760400016224,6.44473196369598
4,"D",4,3,754,0.667792370231395,0.835747471986882,5.49021352068805,3.75506623119767,6.60912158603923
4,"D",4,4,754,0.836201050717526,0.999759237815714,5.94225250412488,4.23963463087673,7.7949425610162
