"b_obs_quartile","metric","n_bins","bin","n","metric_min","metric_max","median_ratio","iqr_ratio_low","iqr_ratio_high"
1,"size_CV",4,1,755,0,0.370321439236102,3.22776805776284,2.1787915087172,4.03329691798187
1,"size_CV",4,2,755,0.370393081527829,0.508359701263571,3.07230321973405,1.89585752497952,4.03135711727053
1,"size_CV",4,3,754,0.508510524056812,0.687015184032353,3.01750708341771,1.87874949687098,3.91982351766267
1,"size_CV",4,4,754,0.687068261246922,4.43171518143331,2.93239062183233,2.00746420789293,3.73623006707196
2,"size_CV",4,1,755,0,0.344072309730782,3.95493400875612,2.93742943186972,4.78075829314613
2,"size_CV",4,2,754,0.344238948922545,0.48407253787986,4.01314350124303,2.78536344302648,4.88156199730071
2,"size_CV",4,3,754,0.484310997197509,0.648021448070185,3.85059144506067,2.90356471959732,4.67280161260229
2,"size_CV",4,4,754,0.648444786551721,3.67221128485587,3.72302873285205,2.78418153257045,4.46122523172735
3,"size_CV",4,1,755,1.1195548360557e-16,0.326254036844949,4.66388631466425,3.44221348430652,5.55652792833419
3,"size_CV",4,2,754,0.326296086199078,0.446306718196723,4.54611092336088,3.34753650843332,5.4064305691931
3,"size_CV",4,3,754,0.446443257862077,0.613047513747084,4.59320011011294,3.45809721763497,5.4039587268384
3,"size_CV",4,4,754,0.613237684547613,2.68759448731789,4.3057812329161,3.18567181368939,5.1377960722672
4,"size_CV",4,1,755,0.0958534072397061,0.282937060654728,5.97572485253132,4.53175996830503,7.21322556096646
4,"size_CV",4,2,754,0.283054883543211,0.386159442892398,5.4742649997606,3.78960927649992,6.62703993653354
4,"size_CV",4,3,754,0.386201836208378,0.538808866822822,5.34351126960872,3.67250180668069,6.43270798153383
4,"size_CV",4,4,754,0.541774127485757,1.76333458926188,5.18760453696425,3.90909006078389,6.22875704418816
