"var1","var2","n","pearson_r","spearman_r","flag_gt_0.4"
"D","size_CV",12069,-0.149451965471773,-0.149657970186869,FALSE
"D","N",12069,0.262035480457341,0.363191463759271,FALSE
"D","B_obs",12069,0.155836250765928,0.137319226986916,FALSE
"D","n_bins_dominant_species",12069,-0.153219252376334,-0.162382526698834,FALSE
"size_CV","N",12069,-0.105489709294934,-0.241785448327198,FALSE
"size_CV","B_obs",12069,-0.134457178223798,-0.206563983013469,FALSE
"size_CV","n_bins_dominant_species",12069,0.430056751792413,0.428704032286301,TRUE
"N","B_obs",12069,0.524469625226671,0.745676630959934,TRUE
"N","n_bins_dominant_species",12069,-0.0288047657339584,-0.100141367904003,FALSE
"B_obs","n_bins_dominant_species",12069,0.0963111395976879,0.105837049429555,FALSE
