"year","n_total_hauls","n_low_cv_hauls","pct_of_group_in_low_cv_decile","flagged"
1985,437,49,11.2,TRUE
1986,452,54,11.9,FALSE
1987,456,49,10.7,FALSE
1988,403,75,18.6,FALSE
1989,427,60,14.1,FALSE
1990,378,38,10.1,FALSE
1991,384,39,10.2,FALSE
1992,375,29,7.7,FALSE
1993,374,19,5.1,FALSE
1994,363,20,5.5,FALSE
1995,340,18,5.3,FALSE
1996,328,27,8.2,FALSE
1997,363,50,13.8,FALSE
1998,404,41,10.1,TRUE
1999,358,24,6.7,FALSE
2000,386,40,10.4,FALSE
2001,430,46,10.7,FALSE
2002,420,42,10,FALSE
2003,417,61,14.6,FALSE
2004,376,38,10.1,FALSE
2005,390,32,8.2,FALSE
2006,381,54,14.2,FALSE
2007,373,30,8,FALSE
2008,392,27,6.9,FALSE
2009,398,28,7,FALSE
2010,373,36,9.7,FALSE
2011,396,38,9.6,FALSE
2012,388,35,9,FALSE
2013,393,49,12.5,TRUE
2014,340,22,6.5,TRUE
2015,374,37,9.9,FALSE
