"gap_side","join_key","year","B_obs","stat_rec","S","N","E","E_raw","m_min"
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_1",1985,NA,NA,9,3260,22300.8732335952,137442.030429437,11.2996135599803
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_10",1985,NA,NA,8,176,4999.20518964569,22468.1113380268,7.41687238191243
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_11",1985,NA,NA,10,108,504.431423841761,4595.83064390518,19.0289946621533
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_12",1985,NA,NA,10,908,3754.83637411623,38469.119169188,22.2516199978342
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_13",1985,NA,NA,11,3990,15699.9185614077,120508.956529175,15.141279223256
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_14",1985,NA,NA,11,1286,5416.73054122765,32559.9978645175,10.9293964859945
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_15",1985,NA,NA,7,1198,4631.3835052951,34478.5219208783,14.5361878476404
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_16",1985,NA,NA,7,322,4078.60092857968,11192.8305442724,3.84212614849403
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_17",1985,NA,NA,6,434,3861.08636274367,17485.7796586132,7.49262472119979
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_18",1985,NA,NA,5,502,2755.86184111284,12914.8763332774,7.84230533673814
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_19",1985,NA,NA,5,208,2732.75506374817,20344.1056570048,14.5361878476404
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_2",1985,NA,NA,12,2192,17276.1494408887,83632.059699497,8.18906756309771
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_20",1985,NA,NA,9,912,10792.9032584591,21005.5284645167,2.42993004238887
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_21",1985,NA,NA,7,840,6453.59779937242,17058.2778137084,3.65463814675372
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_22",1985,NA,NA,7,456,1884.34985521247,11760.9376942633,11.4914248375028
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_23",1985,NA,NA,6,148,2834.80778510487,15930.3851441861,9.99087545818052
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_24",1985,NA,NA,7,204,2158.92160348764,10917.8360608318,8.68026389762285
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_25",1985,NA,NA,8,666,13735.9851825102,10533.301247755,0.70189624942572
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_26",1985,NA,NA,5,586,10216.7408483871,7072.6747641443,0.612390455716975
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_27",1985,NA,NA,11,1990,26334.5549757732,51253.2384379919,2.42993004238887
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_28",1985,NA,NA,11,1966,12559.4350040409,50040.2613529157,6.31634663071971
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_29",1985,NA,NA,10,5776,53148.0816571286,163095.775997852,4.45936984886663
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_3",1985,NA,NA,9,378,2825.04240693908,15883.1378272743,9.99727819632142
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_30",1985,NA,NA,6,194,782.468165393215,3614.99407592754,7.69463251601976
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_31",1985,NA,NA,9,4288,15459.5941529242,86876.186217253,9.99087545818052
"datras_no_fishglob","NS-IBTS_1985_1_FR_35TH_32",1985,NA,NA,10,3858,18146.0786788641,88480.4739378101,8.26836298659262
