model_id,term,estimate,std_error,statistic,p_value,ci_low,ci_high,r_squared,adj_r_squared,n
primary_abs_min5,mean_annual_hours_total,-2.7328185894772547e-6,1.13283108560811e-6,-2.412379589681071,0.016987044445435695,-4.970155693258536e-6,-4.954814856959738e-7,0.035308762776854984,0.029241522291174826,161
secondary_signed_min5,mean_annual_hours_total,2.8714010052615357e-6,1.2199066367385106e-6,2.3537875102789743,0.01980586052273558,4.620900177730733e-7,5.280711992749998e-6,0.033671478153400554,0.027593940280151497,161
sensitivity_otter_min5,mean_annual_hours_otter,-3.712310028544554e-7,1.7254670600908546e-6,-0.21514812507339792,0.8299275517284059,-3.7790219117889173e-6,3.0365599060800064e-6,2.910392697394821e-4,-0.005996438470702303,161
sensitivity_beam_min5,mean_annual_hours_beam,-3.980844260540811e-6,1.4011777117130232e-6,-2.841070213480624,0.0050852723814498665,-6.748164934588225e-6,-1.213523586493398e-6,0.04831267609183979,0.04232722122449284,161
sensitivity_log_hours_min5,log_mean_annual_hours_total,-0.04152199349409017,0.01480024778558266,-2.805493130631091,0.005651613611233257,-0.07075242681863608,-0.012291560169544257,0.047166982463201,0.04117432197554827,161
sensitivity_biomass_covariate_min5,mean_annual_hours_total,1.9711567400505976e-6,9.425028018413512e-7,2.091406769507298,0.0380914776991597,1.0962692762481992e-7,3.832686552476376e-6,0.4660926967768525,0.45933437648288855,161
primary_abs_min10,mean_annual_hours_total,-2.736866519410767e-6,1.0555591580770374e-6,-2.592812064078576,0.010424570218627683,-4.821899338002303e-6,-6.518337008192305e-7,0.04131369168086033,0.035168266627532474,158
secondary_signed_min10,mean_annual_hours_total,2.8190322902512864e-6,1.110099883589441e-6,2.5394402178803186,0.012081446015740445,6.262658578940161e-7,5.011798722608557e-6,0.03969717438506159,0.0335413870413761,158
sensitivity_otter_min10,mean_annual_hours_otter,-1.0378882918843005e-6,1.6092593848930269e-6,-0.644947795009002,0.5199083582647203,-4.2166382515180245e-6,2.140861667749424e-6,0.002659304488584788,-0.0037339050980269572,158
sensitivity_beam_min10,mean_annual_hours_beam,-3.5459959994716665e-6,1.3164590474901907e-6,-2.693586257948589,0.00784231460696464,-6.146381110382216e-6,-9.456108885611178e-7,0.04444206207617029,0.03831669067922272,158
sensitivity_log_hours_min10,log_mean_annual_hours_total,-0.04010311375848661,0.013818813739279009,-2.902066307218276,0.004243933584775005,-0.06739924390896515,-0.012806983608008072,0.05122179162483185,0.04513988003268343,158
sensitivity_biomass_covariate_min10,mean_annual_hours_total,1.9247318671981926e-6,8.090633532669647e-7,2.3789631052082685,0.018578681623759103,3.2651853094633533e-7,3.52294520345005e-6,0.5475246548134468,0.5416862632626526,158
primary_abs_min20,mean_annual_hours_total,-2.8127800370497152e-6,1.0651465270417353e-6,-2.640744691588806,0.009124845539276984,-4.916964281490438e-6,-7.08595792608992e-7,0.04332098834335617,0.03710878696896236,156
secondary_signed_min20,mean_annual_hours_total,2.8904689874691423e-6,1.120619614703726e-6,2.579348915138645,0.010834264805293968,6.766983207987699e-7,5.104239654139514e-6,0.04141247991210781,0.03518788562582276,156
sensitivity_otter_min20,mean_annual_hours_otter,-1.1061007450552839e-6,1.6218381403022293e-6,-0.6820043983237206,0.4962606284216682,-4.3100226236113204e-6,2.0978211335007523e-6,0.003011229779399985,-0.0034627232739805613,156
sensitivity_beam_min20,mean_annual_hours_beam,-3.590713048182069e-6,1.3248526170472352e-6,-2.7102735821172845,0.007485517755842585,-6.207943572079389e-6,-9.73482524284749e-7,0.045527015728309896,0.039329139207065045,156
sensitivity_log_hours_min20,log_mean_annual_hours_total,-0.042199904686061496,0.014010041550821351,-3.012118453252374,0.0030334976418905793,-0.06987657446507592,-0.014523234907047069,0.05563683442642484,0.049504606078544455,156
sensitivity_biomass_covariate_min20,mean_annual_hours_total,1.8449447970006476e-6,8.144820604027573e-7,2.2651754859871702,0.024905589742472103,2.3586192672344438e-7,3.454027667277851e-6,0.5498253850087941,0.543940749518713,156
