year,n_rect_contributing,mean_hours,median_hours,sd_hours
1985,207,11926.87439613526,7469,14123.17619752997
1986,207,13135.599033816425,9252,14698.622554795695
1987,208,12939.355769230773,8740,15359.146073421556
1988,208,13954.379807692305,9082,16058.726143371483
1989,210,14782.6380952381,10074.5,16475.02465957092
1990,208,17160.841346153837,11247,17897.877965567855
1991,209,17681.019138755986,11924,18344.960566649897
1992,208,17410.528846153837,11093.5,18251.60848868627
1993,208,17138.168269230777,10004.5,17982.17139079901
1994,205,17021.878048780483,10695,17542.089040970277
1995,207,16426.55555555555,9550,18133.578020372257
1996,207,16823.792270531394,10492,18826.28377835735
1997,206,15986.825242718445,10269,17268.86347520903
1998,208,15151.605769230773,10544,16458.918842298168
1999,210,14619.304761904765,9024.5,16201.235205507874
2000,205,14968.936585365856,7736,16965.62536196145
2001,204,15034.578431372554,8039,17349.209103897618
2002,204,13114.308823529422,6692,15116.947968407105
2003,203,12905.970443349759,5234,15775.93936131206
2004,205,11784.453658536582,5061,15613.494725185039
2005,204,10726.078431372549,4234,14208.997335648235
2006,200,10105.370000000004,4040,13403.52254132019
2007,205,8819.258536585361,3489,12932.871825446173
2008,202,7964.648514851491,3045.5,12419.497243099897
2009,199,8372.93969849246,3060,13150.010515661268
2010,203,8714.51231527093,2691,13930.592728094369
2011,203,7212.413793103457,2460,10771.344465766788
2012,203,7682.541871921189,2245,13942.96414648154
2013,200,7449.355000000007,3117,12266.854746258474
2014,198,7253.3636363636315,2785,12580.74221455665
2015,199,7206,2976,12642.110701136815
