model_id,phase,year_start,year_end,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi,note
primary_plain_re,1985-1988,1985,1988,-7.895518917015865e-4,0.01412150723818573,-0.028467706078545617,0.026888602295142443,parametric phase-model slope (delta method)
primary_plain_re,1989-2000,1989,2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395,parametric phase-model slope (delta method)
primary_plain_re,2001-2007,2001,2007,0.08851028222434604,0.007859384487468427,0.07310588862890792,0.10391467581978416,parametric phase-model slope (delta method)
primary_plain_re,2008-2015,2008,2015,0.05802818921596979,0.007100767381034054,0.04411068514914304,0.07194569328279654,parametric phase-model slope (delta method)
car_adjacency,1985-1988,1985,1988,-0.007620560609204845,0.014068395848457541,-0.035194616472181625,0.019953495253771936,parametric CAR phase-model slope (delta method)
car_adjacency,1989-2000,1989,2000,-0.013838532373212973,0.009155644962437788,-0.03178359649959104,0.004106531753165091,parametric CAR phase-model slope (delta method)
car_adjacency,2001-2007,2001,2007,0.08167251414122056,0.007925114909497322,0.06613928891860582,0.09720573936383531,parametric CAR phase-model slope (delta method)
car_adjacency,2008-2015,2008,2015,0.051985815650546705,0.0071665018266377275,0.03793947207033676,0.06603215923075664,parametric CAR phase-model slope (delta method)
smooth_year_gam,1985-1988,1985,1988,0.009702394530929376,0.014294962753050807,-0.018315732465050208,0.03772052152690896,mean of year-by-year GAM slopes within phase (not a parametric phase coefficient)
smooth_year_gam,1989-2000,1989,2000,-0.004338356670006554,0.011535263911267779,-0.026947473936091405,0.01827076059607829,mean of year-by-year GAM slopes within phase (not a parametric phase coefficient)
smooth_year_gam,2001-2007,2001,2007,0.10840780425273697,0.008883030335717074,0.0909970647947315,0.12581854371074244,mean of year-by-year GAM slopes within phase (not a parametric phase coefficient)
smooth_year_gam,2008-2015,2008,2015,0.05821962841189778,0.009191498721481926,0.04020429091779321,0.07623496590600236,mean of year-by-year GAM slopes within phase (not a parametric phase coefficient)
