model_id,term,estimate,std_error,statistic,p_value,hypothesis,hypothesis_group,term_plain
wb_car,(Intercept),-0.8341336208364664,0.1743391900399841,-4.784544545865796,1.7137548843612134e-6,control (intercept),control,Intercept
wb_car,FP_between,-0.043421201097912275,0.018250928393508142,-2.3791228677088667,0.017353890493161623,"H2 (between-rectangle FP, reference phase 1985-1988)",H2_spatial_between,"Between-rectangle FP (rectangle mean log(hours+1)), phase 1985-1988"
wb_car,phase1989-2000,0.018392939513253714,0.13869418259619695,0.13261507562147784,0.8944978091117015,control (phase main effect),control,Phase 1989-2000 (vs 1985-1988)
wb_car,phase2001-2007,-1.1167306628000837,0.14681662215406227,-7.606295843179395,2.8206322239587552e-14,control (phase main effect),control,Phase 2001-2007 (vs 1985-1988)
wb_car,phase2008-2015,-0.3111292949410568,0.1459417143109327,-2.131873648394917,0.03301723506262822,control (phase main effect),control,Phase 2008-2015 (vs 1985-1988)
wb_car,FP_within,0.03311759649674351,0.018099589910423666,1.8297429201791404,0.0672883896775266,"H3 (within-rectangle FP deviation, reference phase 1985-1988)",H3_temporal_within,"Within-rectangle FP deviation (year - rectangle mean), phase 1985-1988"
wb_car,FP_between:phase1989-2000,-0.008376375434344104,0.014892335529040074,-0.5624621751242551,0.5738011677606842,H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,Between-FP x phase 1989-2000 (change in between slope vs 1985-1988)
wb_car,FP_between:phase2001-2007,0.1306312845924944,0.01588290780987545,8.224645395931363,1.9576918039468725e-16,H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,Between-FP x phase 2001-2007 (change in between slope vs 1985-1988)
wb_car,FP_between:phase2008-2015,0.056734201879543054,0.01565998035884848,3.62287822714197,2.9134300011823475e-4,H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,Between-FP x phase 2008-2015 (change in between slope vs 1985-1988)
wb_car,phase1989-2000:FP_within,0.010138883212653061,0.023149276927427978,0.437978397529998,0.6614019432620888,H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,Within-FP x phase 1989-2000 (change in within slope vs 1985-1988)
wb_car,phase2001-2007:FP_within,-0.04681415868214469,0.024804648434625234,-1.8873139365602136,0.059118113045332606,H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,Within-FP x phase 2001-2007 (change in within slope vs 1985-1988)
wb_car,phase2008-2015:FP_within,0.023060404973393334,0.022672653992474524,1.0171021434476755,0.309104840741681,H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,Within-FP x phase 2008-2015 (change in within slope vs 1985-1988)
