model_id,hypothesis_group,component,phase,year_start,year_end,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi,statistic,p_value
wb_primary,H2_spatial_between,FP_between,1985-1988,1985,1988,-0.005958374138312478,0.01798774040168229,-0.04121434532560976,0.029297597048984807,-0.33124639366905834,0.7404583792741734
wb_primary,H2_spatial_between,FP_between,1989-2000,1989,2000,-0.013331582397686321,0.013918913161290528,-0.040612652193815754,0.013949487398443114,-0.9578034034124435,0.33816190269029134
wb_primary,H2_spatial_between,FP_between,2001-2007,2001,2007,0.12556619966591603,0.014957101798889157,0.09625028014009329,0.15488211919173878,8.39508892526503,4.655417732228938e-17
wb_primary,H2_spatial_between,FP_between,2008-2015,2008,2015,0.051999412008703734,0.014652395945033952,0.023280715956437187,0.08071810806097028,3.548867516532515,3.868916824261365e-4
wb_primary,H3_temporal_within,FP_within,1985-1988,1985,1988,0.03174240634994792,0.018174073937622864,-0.0038787785677928954,0.06736359126768873,1.7465762744717748,0.08071086566032507
wb_primary,H3_temporal_within,FP_within,1989-2000,1989,2000,0.0414887237978001,0.01538332096751996,0.01133741470146098,0.07164003289413923,2.69699396413808,0.006996853856644088
wb_primary,H3_temporal_within,FP_within,2001-2007,2001,2007,-0.011604621517643132,0.015774242070623126,-0.042522135976064454,0.019312892940778193,-0.7356690397984185,0.4619321355702594
wb_primary,H3_temporal_within,FP_within,2008-2015,2008,2015,0.057140812905157434,0.012224066775193778,0.03318164202577763,0.08109998378453724,4.674451960710238,2.947396140784902e-6
wb_car,H2_spatial_between,FP_between,1985-1988,1985,1988,-0.043421201097912275,0.018250928393508142,-0.07919302074918824,-0.007649381446636315,-2.3791228677088667,0.017353890493161623
wb_car,H2_spatial_between,FP_between,1989-2000,1989,2000,-0.051797576532256376,0.014487553256937315,-0.080193180915853507,-0.023401972148659238,-3.5753156943497886,3.498055345896048e-4
wb_car,H2_spatial_between,FP_between,2001-2007,2001,2007,0.08721008349458212,0.015424421013825608,0.056978218307483924,0.11744194868168031,5.654026392070844,1.5673212869419226e-8
wb_car,H2_spatial_between,FP_between,2008-2015,2008,2015,0.01331300078163078,0.015114802854763005,-0.016312012813704712,0.042938014376966274,0.8807922213444922,0.37843029072212464
wb_car,H3_temporal_within,FP_within,1985-1988,1985,1988,0.03311759649674351,0.018099589910423666,-0.002357599727686878,0.06859279272117388,1.8297429201791404,0.0672883896775266
wb_car,H3_temporal_within,FP_within,1989-2000,1989,2000,0.04325647970939657,0.01533678475413248,0.01319638159129691,0.07331657782749623,2.820439903333791,0.004795785549256131
wb_car,H3_temporal_within,FP_within,2001-2007,2001,2007,-0.013696562185401183,0.015723383353537873,-0.04451439355833541,0.017121269187533046,-0.8710950994093367,0.38370222969386414
wb_car,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05617800147013684,0.012170447852381366,0.03232392367946936,0.08003207926080431,4.615935432412588,3.913286093244857e-6
