model_id,term,term_plain,hypothesis,hypothesis_group,estimate,std_error,ci_lo,ci_hi,statistic,p_value
wb_primary,(Intercept),Intercept,control (intercept),control,-1.276753662958676,0.16456159956142286,-1.5992943980990648,-0.9542129278182871,-7.758515147892239,8.592948195103088e-15
wb_primary,FP_between,"Between-rectangle FP (rectangle mean log(hours+1)), phase 1985-1988","H2 (between-rectangle FP, reference phase 1985-1988)",H2_spatial_between,-0.005958374138312478,0.01798774040168229,-0.04121434532560976,0.029297597048984807,-0.33124639366905834,0.7404583792741734
wb_primary,phase1989-2000,Phase 1989-2000 (vs 1985-1988),control (phase main effect),control,0.011047283415680086,0.13895014132365216,-0.26129499357867814,0.28338956041003827,0.07950537732774232,0.9366306546656311
wb_primary,phase2001-2007,Phase 2001-2007 (vs 1985-1988),control (phase main effect),control,-1.1232165306941408,0.1470607685505668,-1.4114556370532518,-0.8349774243350299,-7.637771390457022,2.2101383032791224e-14
wb_primary,phase2008-2015,Phase 2008-2015 (vs 1985-1988),control (phase main effect),control,-0.3202408418398451,0.146280781097694,-0.6069511727913253,-0.03353051088836484,-2.1892202067609374,0.02858083865307297
wb_primary,FP_within,"Within-rectangle FP deviation (year - rectangle mean), phase 1985-1988","H3 (within-rectangle FP deviation, reference phase 1985-1988)",H3_temporal_within,0.03174240634994792,0.018174073937622864,-0.0038787785677928954,0.06736359126768873,1.7465762744717748,0.08071086566032507
wb_primary,FP_between:phase1989-2000,Between-FP x phase 1989-2000 (change in between slope vs 1985-1988),H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,-0.007373208259373844,0.014919758653249248,-0.036615935219742365,0.02186951870099468,-0.4941908532661214,0.6211713988688072
wb_primary,FP_between:phase2001-2007,Between-FP x phase 2001-2007 (change in between slope vs 1985-1988),H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,0.13152457380422852,0.01590834282626112,0.10034422186475672,0.16270492574370032,8.267647689054753,1.366279365682347e-16
wb_primary,FP_between:phase2008-2015,Between-FP x phase 2008-2015 (change in between slope vs 1985-1988),H2 (between-rectangle FP x phase interaction vs reference),H2_spatial_between,0.05795778614701621,0.015694260622927142,0.027197035326079012,0.0887185369679534,3.692928742520556,2.2168615568849204e-4
wb_primary,phase1989-2000:FP_within,Within-FP x phase 1989-2000 (change in within slope vs 1985-1988),H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,0.009746317447852182,0.023206709804587135,-0.035738833769138605,0.05523146866484297,0.41997842563299015,0.6745012143898117
wb_primary,phase2001-2007:FP_within,Within-FP x phase 2001-2007 (change in within slope vs 1985-1988),H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,-0.04334702786759105,0.02493241169376001,-0.09221455478736067,0.005520499052178565,-1.7385814256564591,0.08210841605093207
wb_primary,phase2008-2015:FP_within,Within-FP x phase 2008-2015 (change in within slope vs 1985-1988),H3 (within-rectangle FP x phase interaction vs reference),H3_temporal_within,0.025398406555209512,0.02280191580859479,-0.019293348429636276,0.0700901615400553,1.1138716048427835,0.26533427261032017
