"accepted_name","aphia_id","total_N"
"Clupea harengus",126417,29037552.8519667
"Sprattus sprattus",126425,22266271.2724
"Trisopterus esmarkii",126444,16961216.6696333
"Merlangius merlangus",126438,8716742.40983333
"Melanogrammus aeglefinus",126437,5194217.53999999
"Limanda limanda",127139,4483732.46723334
"Eutrigla gurnardus",150637,1280471.2337
"Hippoglossoides platessoides",127137,1028465.33476667
"Scomber scombrus",127023,867649.6575
"Pleuronectes platessa",127143,400830.6727
"Gadus morhua",126436,238787.2875
"Trisopterus minutus",126446,220814.343166667
"Aphia minuta",126868,193711.361166667
"Trachurus trachurus",126822,135280.859
"Syngnathus",126227,124864.600833333
"Argentina",125885,118302.8328
"Ammodytes marinus",126751,114993.517833333
"Pollachius virens",126441,107021.325233333
"Engraulis encrasicolus",126426,84282.3784333334
"Microstomus kitt",127140,80829.4265666668
"Platichthys flesus",127141,67576.8706666666
"Buglossidium luteum",127153,60574.1322666667
"Echiichthys vipera",150630,49920.2013333333
"Ammodytes",125909,44800.4343
"Trachinus draco",127082,41296.988
"Sardina pilchardus",126421,38517.6766
"Callionymus",125930,36607.3629
"Agonus cataphractus",127190,35973.3026666667
"Callionymus lyra",126792,35580.6183333332
"Ammodytes tobianus",126752,35419.1106666667
"Amblyraja radiata",105865,31973.7741666666
"Gadiculus argenteus",126435,31328.7828333333
"Pomatoschistus",125999,29842.5745
"Micromesistius poutassou",126439,28900.6024333333
"Enchelyopus cimbrius",126450,28664.512
"Gobiidae",125537,28436.9058333333
"Scyliorhinus canicula",105814,27991.1348333333
"Arnoglossus laterna",127126,27507.7422666666
"Merluccius merluccius",126484,26793.9008
"Maurolicus muelleri",127312,23264.7578333333
"Trisopterus luscus",126445,21164.1916666667
"Gasterosteus aculeatus",126505,15529.1213333333
"Myoxocephalus scorpius",127203,15243.2113333333
"Glyptocephalus cynoglossus",127136,12518.8880666667
"Lumpenus lampretaeformis",154675,12426.4145
"Ammodytidae",125516,11080.6523333333
"Hyperoplus lanceolatus",126756,11079.0121666667
"Chelidonichthys cuculus",127259,10913.317
"Solea solea",127160,9989.17266666667
"Mullus surmuletus",126986,9422.06316666666
"Myxine glutinosa",101170,9121.78
"Squalus acanthias",105923,8796.91383333333
"Entelurus aequoreus",127379,8662.733
"Lycodes vahlii",127118,8521.19866666667
"Raja clavata",105883,8236.45150000001
"Lepidorhombus whiffiagonis",127146,6964.55936666667
"Hyperoplus immaculatus",126755,5921.21666666667
"Taurulus bubalis",127204,5630.10833333333
"Lophius piscatorius",126555,4677.74603333334
"Liparis",126160,4224.73116666667
"Alosa",125715,4064.83583333333
"Gaidropsarus vulgaris",126458,3941.46033333333
"Mustelus",105732,3770.88416666667
"Helicolenus dactylopterus",127251,3634.345
"Molva molva",126461,3604.8175
"Cyclopterus lumpus",127214,3537.86183333333
"Leucoraja naevus",105876,3276.2465
"Raja montagui",105887,3244.414
"Pomatoschistus lozanoi",126925,2759.5
"Dicentrarchus labrax",126975,2593.68333333333
"Pollachius pollachius",126440,2524.95216666667
"Atherina presbyter",272030,2389.63333333333
"Phrynorhombus norvegicus",127147,2150.35066666667
"Sebastes viviparus",127255,2056.96916666667
"Osmerus eperlanus",126736,2034.06033333333
"Ciliata",125741,1991.06666666667
"Pholis gunnellus",126996,1754.405
"Scophthalmus rhombus",127150,1589.42783333333
"Spondyliosoma cantharus",127066,1490.48333333333
"Triglidae",125598,1336.9
"Scophthalmus maximus",127149,1329.3095
"Chelidonichthys lucerna",127262,1310.08933333333
"Syngnathidae",125606,1263.23333333333
"Zoarces viviparus",127123,1153.85
"Anarhichas lupus",126758,951.679666666667
"Microchirus variegatus",274304,670.559333333333
"Zeus faber",127427,638.068666666667
"Lycodes gracilis",274100,588.361666666667
"Spinachia spinachia",126508,484.408333333333
"Raja brachyura",367297,471.666666666667
"Callionymidae",125522,425.368333333333
"Chimaera monstrosa",105824,391.119166666667
"Brosme brosme",126447,371.615666666667
"Capros aper",127419,347.101833333333
"Etmopterus spinax",105913,334.397666666667
"Soleidae",125581,319.016666666667
"Lycenchelys sarsii",127101,274.534833333333
"Pomatoschistus norvegicus",126929,261.0005
"Zeugopterus punctatus",127151,257.115666666667
"Lesueurigobius friesii",126904,246.408
"Hippoglossus hippoglossus",127138,240.244833333333
"Gobius",125988,195.910666666667
"Dipturus",105762,189.233333333333
"Chelidonichthys lastoviza",127261,162.516666666667
"Mullus barbatus",126985,145.848
"Sebastes",126175,95
"Anguilla anguilla",126281,90.7666666666667
"Hyperoplus",125911,75
"Crystallogobius linearis",126878,74.0023333333333
"Triglops murrayi",127205,66.8166666666667
